reason,rows,forced_side_rows,forced_side_wins,forced_side_losses,forced_side_win_rate,forced_side_net_bnb,forced_side_net_usd,avg_confidence,avg_sep,avg_abs_price_diff
NEU_WEAK_CONTINUATION_BOTH,2526,2526,1295,1231,0.5126682501979414,-0.3246952554744541,-222.41625000000025,0.5999426125626813,0.020451306413301677,49.4185787806811
NEU_BULL_INVALIDATED,1719,1719,874,845,0.508435136707388,-0.433806569343066,-297.15750000000054,0.5185287706432051,0.07851007465580762,79.61972076788834
NEU_BEAR_INVALIDATED,1503,1503,743,760,0.49434464404524286,-0.9987536496350371,-684.14625,0.520185380325825,0.07729251497005986,84.92594810379232
NEU_CLOSE_CALL,638,638,271,367,0.42476489028213166,-1.7224178832116792,-1179.85625,0.5957698361263976,0.03796965778474399,89.2386520376178
