reason,rows,forced_side_rows,forced_side_wins,forced_side_losses,forced_side_win_rate,forced_side_net_bnb,forced_side_net_usd,avg_confidence,avg_sep,avg_abs_price_diff
NEU_WEAK_CONTINUATION_BOTH,4023,4023,2185,1838,0.5431270196370868,3.067045620437955,2100.9262499999986,0.5999639670229512,0.02224881928908776,50.08048222719375
NEU_BULL_INVALIDATED,1719,1719,874,845,0.508435136707388,-0.433806569343066,-297.15750000000054,0.5185287706432051,0.07851007465580762,79.61972076788834
NEU_BEAR_INVALIDATED,1503,1503,743,760,0.49434464404524286,-0.9987536496350371,-684.14625,0.520185380325825,0.07729251497005986,84.92594810379232
NEU_CLOSE_CALL,255,255,86,169,0.33725490196078434,-1.3411423357664234,-918.6825000000001,0.5950552248178598,0.015695424836601333,83.59992156862752
