reason,sep_band,conf_band,rows,forced_wins,forced_losses,forced_win_rate,forced_net_bnb,forced_net_usd,avg_sep,avg_confidence,avg_abs_price_diff
NEU_WEAK_CONTINUATION_BOTH,0.03-0.04,0.56-0.60,9,7,2,0.7777777777777778,0.0686332116788321,47.01374999999999,0.038000000000000006,0.5917685925925925,44.6233333333334
NEU_WEAK_CONTINUATION_BOTH,>=0.04,0.56-0.60,21,8,13,0.38095238095238093,-0.08360583941605838,-57.269999999999996,0.06299999999999999,0.5974493333333334,48.392857142857146
NEU_WEAK_CONTINUATION_BOTH,0.00-0.02,0.56-0.60,6,0,6,0.0,-0.09074452554744525,-62.16,0.0020000000000000018,0.5971143333333333,101.35500000000077
NEU_WEAK_CONTINUATION_BOTH,0.02-0.03,0.56-0.60,2490,1280,1210,0.5140562248995983,-0.21897810218978364,-150.0000000000018,0.020073493975903633,0.6,49.31941365461866
