variant,rollback_weak_conf_low,rollback_weak_conf_high,rollback_weak_low_sep_max,rollback_weak_high_sep_min,rows,rollback_rows,called_only_accuracy,bets,wins,losses,net_bnb,net_usd,pred_bull_acc,pred_bear_acc,pred_bull_run_acc,pred_bull_flip_acc,pred_bear_run_acc,pred_bear_flip_acc,remaining_false_neutral_rows,remaining_false_neutral_forced_win_rate,remaining_false_neutral_forced_net_bnb,input,stake_bnb,bnb_usd,win_fee_rate,gas_usd_roundtrip
v21_3_sweep,0.6,0.62,0.01,0.035,19799,1506,0.6592692221475006,13383,8823,4560,55.667085766423355,38131.95375,0.6549463647199046,0.6636186478788787,0.6541884013501074,0.6602508019830855,0.6618594660938938,0.6702096250369058,6386,0.498434074538052,-3.4796733576642396,E:\Trading_Bot_V1.0\DogeBets\main\data\epoch_model_table_v6\epoch_model_table_v21_src.parquet,0.015,685.0,0.05,0.085
v21_3_sweep,0.6,0.62,0.01,0.04,19799,1506,0.6592692221475006,13383,8823,4560,55.667085766423355,38131.95375,0.6549463647199046,0.6636186478788787,0.6541884013501074,0.6602508019830855,0.6618594660938938,0.6702096250369058,6386,0.498434074538052,-3.4796733576642396,E:\Trading_Bot_V1.0\DogeBets\main\data\epoch_model_table_v6\epoch_model_table_v21_src.parquet,0.015,685.0,0.05,0.085
v21_3_sweep,0.6,0.62,0.015,0.035,19799,1506,0.6592692221475006,13383,8823,4560,55.667085766423355,38131.95375,0.6549463647199046,0.6636186478788787,0.6541884013501074,0.6602508019830855,0.6618594660938938,0.6702096250369058,6386,0.498434074538052,-3.4796733576642396,E:\Trading_Bot_V1.0\DogeBets\main\data\epoch_model_table_v6\epoch_model_table_v21_src.parquet,0.015,685.0,0.05,0.085
v21_3_sweep,0.6,0.62,0.015,0.04,19799,1506,0.6592692221475006,13383,8823,4560,55.667085766423355,38131.95375,0.6549463647199046,0.6636186478788787,0.6541884013501074,0.6602508019830855,0.6618594660938938,0.6702096250369058,6386,0.498434074538052,-3.4796733576642396,E:\Trading_Bot_V1.0\DogeBets\main\data\epoch_model_table_v6\epoch_model_table_v21_src.parquet,0.015,685.0,0.05,0.085
v21_3_sweep,0.6,0.62,0.02,0.035,19799,1506,0.6592692221475006,13383,8823,4560,55.667085766423355,38131.95375,0.6549463647199046,0.6636186478788787,0.6541884013501074,0.6602508019830855,0.6618594660938938,0.6702096250369058,6386,0.498434074538052,-3.4796733576642396,E:\Trading_Bot_V1.0\DogeBets\main\data\epoch_model_table_v6\epoch_model_table_v21_src.parquet,0.015,685.0,0.05,0.085
v21_3_sweep,0.6,0.62,0.02,0.04,19799,1506,0.6592692221475006,13383,8823,4560,55.667085766423355,38131.95375,0.6549463647199046,0.6636186478788787,0.6541884013501074,0.6602508019830855,0.6618594660938938,0.6702096250369058,6386,0.498434074538052,-3.4796733576642396,E:\Trading_Bot_V1.0\DogeBets\main\data\epoch_model_table_v6\epoch_model_table_v21_src.parquet,0.015,685.0,0.05,0.085
v21_3_sweep,0.6,0.64,0.01,0.035,19799,1506,0.6592692221475006,13383,8823,4560,55.667085766423355,38131.95375,0.6549463647199046,0.6636186478788787,0.6541884013501074,0.6602508019830855,0.6618594660938938,0.6702096250369058,6386,0.498434074538052,-3.4796733576642396,E:\Trading_Bot_V1.0\DogeBets\main\data\epoch_model_table_v6\epoch_model_table_v21_src.parquet,0.015,685.0,0.05,0.085
v21_3_sweep,0.6,0.64,0.01,0.04,19799,1506,0.6592692221475006,13383,8823,4560,55.667085766423355,38131.95375,0.6549463647199046,0.6636186478788787,0.6541884013501074,0.6602508019830855,0.6618594660938938,0.6702096250369058,6386,0.498434074538052,-3.4796733576642396,E:\Trading_Bot_V1.0\DogeBets\main\data\epoch_model_table_v6\epoch_model_table_v21_src.parquet,0.015,685.0,0.05,0.085
v21_3_sweep,0.6,0.64,0.015,0.035,19799,1506,0.6592692221475006,13383,8823,4560,55.667085766423355,38131.95375,0.6549463647199046,0.6636186478788787,0.6541884013501074,0.6602508019830855,0.6618594660938938,0.6702096250369058,6386,0.498434074538052,-3.4796733576642396,E:\Trading_Bot_V1.0\DogeBets\main\data\epoch_model_table_v6\epoch_model_table_v21_src.parquet,0.015,685.0,0.05,0.085
v21_3_sweep,0.6,0.64,0.015,0.04,19799,1506,0.6592692221475006,13383,8823,4560,55.667085766423355,38131.95375,0.6549463647199046,0.6636186478788787,0.6541884013501074,0.6602508019830855,0.6618594660938938,0.6702096250369058,6386,0.498434074538052,-3.4796733576642396,E:\Trading_Bot_V1.0\DogeBets\main\data\epoch_model_table_v6\epoch_model_table_v21_src.parquet,0.015,685.0,0.05,0.085
v21_3_sweep,0.6,0.64,0.02,0.035,19799,1506,0.6592692221475006,13383,8823,4560,55.667085766423355,38131.95375,0.6549463647199046,0.6636186478788787,0.6541884013501074,0.6602508019830855,0.6618594660938938,0.6702096250369058,6386,0.498434074538052,-3.4796733576642396,E:\Trading_Bot_V1.0\DogeBets\main\data\epoch_model_table_v6\epoch_model_table_v21_src.parquet,0.015,685.0,0.05,0.085
v21_3_sweep,0.6,0.64,0.02,0.04,19799,1506,0.6592692221475006,13383,8823,4560,55.667085766423355,38131.95375,0.6549463647199046,0.6636186478788787,0.6541884013501074,0.6602508019830855,0.6618594660938938,0.6702096250369058,6386,0.498434074538052,-3.4796733576642396,E:\Trading_Bot_V1.0\DogeBets\main\data\epoch_model_table_v6\epoch_model_table_v21_src.parquet,0.015,685.0,0.05,0.085
v21_3_sweep,0.6,0.66,0.01,0.035,19799,1506,0.6592692221475006,13383,8823,4560,55.667085766423355,38131.95375,0.6549463647199046,0.6636186478788787,0.6541884013501074,0.6602508019830855,0.6618594660938938,0.6702096250369058,6386,0.498434074538052,-3.4796733576642396,E:\Trading_Bot_V1.0\DogeBets\main\data\epoch_model_table_v6\epoch_model_table_v21_src.parquet,0.015,685.0,0.05,0.085
v21_3_sweep,0.6,0.66,0.01,0.04,19799,1506,0.6592692221475006,13383,8823,4560,55.667085766423355,38131.95375,0.6549463647199046,0.6636186478788787,0.6541884013501074,0.6602508019830855,0.6618594660938938,0.6702096250369058,6386,0.498434074538052,-3.4796733576642396,E:\Trading_Bot_V1.0\DogeBets\main\data\epoch_model_table_v6\epoch_model_table_v21_src.parquet,0.015,685.0,0.05,0.085
v21_3_sweep,0.6,0.66,0.015,0.035,19799,1506,0.6592692221475006,13383,8823,4560,55.667085766423355,38131.95375,0.6549463647199046,0.6636186478788787,0.6541884013501074,0.6602508019830855,0.6618594660938938,0.6702096250369058,6386,0.498434074538052,-3.4796733576642396,E:\Trading_Bot_V1.0\DogeBets\main\data\epoch_model_table_v6\epoch_model_table_v21_src.parquet,0.015,685.0,0.05,0.085
v21_3_sweep,0.6,0.66,0.015,0.04,19799,1506,0.6592692221475006,13383,8823,4560,55.667085766423355,38131.95375,0.6549463647199046,0.6636186478788787,0.6541884013501074,0.6602508019830855,0.6618594660938938,0.6702096250369058,6386,0.498434074538052,-3.4796733576642396,E:\Trading_Bot_V1.0\DogeBets\main\data\epoch_model_table_v6\epoch_model_table_v21_src.parquet,0.015,685.0,0.05,0.085
v21_3_sweep,0.6,0.66,0.02,0.035,19799,1506,0.6592692221475006,13383,8823,4560,55.667085766423355,38131.95375,0.6549463647199046,0.6636186478788787,0.6541884013501074,0.6602508019830855,0.6618594660938938,0.6702096250369058,6386,0.498434074538052,-3.4796733576642396,E:\Trading_Bot_V1.0\DogeBets\main\data\epoch_model_table_v6\epoch_model_table_v21_src.parquet,0.015,685.0,0.05,0.085
v21_3_sweep,0.6,0.66,0.02,0.04,19799,1506,0.6592692221475006,13383,8823,4560,55.667085766423355,38131.95375,0.6549463647199046,0.6636186478788787,0.6541884013501074,0.6602508019830855,0.6618594660938938,0.6702096250369058,6386,0.498434074538052,-3.4796733576642396,E:\Trading_Bot_V1.0\DogeBets\main\data\epoch_model_table_v6\epoch_model_table_v21_src.parquet,0.015,685.0,0.05,0.085
