reason,rows,forced_side_rows,forced_side_wins,forced_side_losses,forced_side_win_rate,forced_side_net_bnb,forced_side_net_usd,avg_confidence,avg_sep,avg_abs_price_diff
NEU_WEAK_CONTINUATION_BOTH,2526,2526,1295,1231,0.5126682501979414,-0.32469525547445244,-222.41624999999993,0.5999426125626813,0.020451306413301677,49.4185787806811
NEU_BULL_INVALIDATED,1719,1719,874,845,0.508435136707388,-0.4338065693430657,-297.1575,0.5185287706432051,0.07851007465580762,79.61972076788834
NEU_BEAR_INVALIDATED,1503,1503,743,760,0.49434464404524286,-0.9987536496350362,-684.1462499999998,0.520185380325825,0.07729251497005986,84.92594810379232
NEU_CLOSE_CALL,638,638,271,367,0.42476489028213166,-1.722417883211679,-1179.85625,0.5957698361263976,0.03796965778474399,89.2386520376178
