row_index,epoch,truth,base,slow_retention,abs_hinge,transition_score_v23,phase3,fs3,fast_alt,osc_core_count,core_window_pm1,center_any_support,pm1_centered_soft,pm1_hinge_018
397,321170,Bull,Bear,1.9026312620244423,0.1617608164018711,1,0,0,0,0,0,0,0,0
411,321189,Bull,Bear,1.745798753163399,0.1896690382169991,1,1,1,0,0,0,1,0,0
152,320920,Bull,Bear,1.6361203413198382,0.3619156339245184,1,0,0,0,0,0,0,0,0
514,321304,Bull,Bear,1.4339076306314382,0.2391922753233023,1,0,1,1,1,0,1,0,0
788,321610,Bull,Bear,1.2980760016143904,0.3325768538410291,1,0,1,0,0,0,1,0,0
572,321371,Bull,Bear,1.2457472309597506,0.2597700865159475,1,1,1,1,1,0,1,0,0
219,320997,Bull,Bear,1.1129530002544925,0.2932370400084516,1,0,0,0,0,0,0,0,0
