window_type,center_index,center_epoch,rel,epoch,truth,base,pred,adaptive_policy,trig,ruleb,pm1,soft,h018,phase3,fs3,fast_alt,slow,abs_hinge,transition
REMAINING_FALSE_NEGATIVE,397,321170,-2,321167,Bull,Neutral,Neutral,base,0,0,0,0,0,0,0,0,0.3471565745603584,1.0,1
REMAINING_FALSE_NEGATIVE,397,321170,-1,321168,Bear,Bull,Bull,base,0,0,0,0,0,0,0,0,1.975096135738568,0.2772903801904036,0
REMAINING_FALSE_NEGATIVE,397,321170,0,321170,Bull,Bear,Bear,base,0,1,0,0,0,0,0,0,1.9026312620244423,0.1617608164018711,1
REMAINING_FALSE_NEGATIVE,397,321170,1,321171,Bear,Neutral,Neutral,base,0,0,0,0,0,0,0,1,0.2949232746395864,0.1345712505980145,0
REMAINING_FALSE_NEGATIVE,397,321170,2,321172,Bull,Neutral,Neutral,base,0,1,0,0,0,1,1,0,1.0577835626609158,1.0,2
REMAINING_FALSE_NEGATIVE,411,321189,-2,321186,Bear,Bear,Bear,base,0,1,0,0,0,1,2,0,1.994928927382716,0.210832087757578,1
REMAINING_FALSE_NEGATIVE,411,321189,-1,321188,Bull,Neutral,Neutral,base,0,1,0,0,0,1,2,0,1.5152713386487449,0.42196178557606,1
REMAINING_FALSE_NEGATIVE,411,321189,0,321189,Bull,Bear,Bear,base,0,1,0,0,0,1,1,0,1.745798753163399,0.1896690382169991,1
REMAINING_FALSE_NEGATIVE,411,321189,1,321190,Bear,Neutral,Neutral,base,0,0,0,0,0,1,2,0,0.630396724152888,0.3289975451076585,0
REMAINING_FALSE_NEGATIVE,411,321189,2,321191,Bear,Bear,Bear,base,0,0,0,0,0,0,1,0,2.6879134246373724,0.0097824887632454,0
REMAINING_FALSE_NEGATIVE,514,321304,-2,321302,Bear,Neutral,Neutral,base,0,0,0,0,0,0,1,0,0.8480056458265608,0.3346402939651963,0
REMAINING_FALSE_NEGATIVE,514,321304,-1,321303,Bull,Bull,Bull,base,0,0,0,0,0,0,1,0,0.3349514959882071,0.3203849751929498,0
REMAINING_FALSE_NEGATIVE,514,321304,0,321304,Bull,Bear,Bear,base,0,1,0,0,0,0,1,1,1.4339076306314382,0.2391922753233023,1
REMAINING_FALSE_NEGATIVE,514,321304,1,321305,Bear,Neutral,Neutral,base,0,0,0,0,0,1,1,0,0.5269501706097799,1.0,2
REMAINING_FALSE_NEGATIVE,514,321304,2,321306,Bull,Bear,Bear,base,0,0,0,0,0,1,1,0,0.4125776010369009,0.2737402855598712,1
REMAINING_FALSE_NEGATIVE,572,321371,-2,321369,Bull,Neutral,Neutral,base,0,0,1,1,1,1,1,1,0.194734032937049,0.3009674892553203,0
REMAINING_FALSE_NEGATIVE,572,321371,-1,321370,Bear,Neutral,Neutral,base,0,0,0,0,0,1,1,1,0.1588814655769965,0.2748065804725368,1
REMAINING_FALSE_NEGATIVE,572,321371,0,321371,Bull,Bear,Bear,base,0,1,0,0,0,1,1,1,1.2457472309597506,0.2597700865159475,1
REMAINING_FALSE_NEGATIVE,572,321371,1,321372,Bear,Bear,Bear,base,0,0,0,0,0,1,1,0,0.4151955275901855,0.1377372587727716,1
REMAINING_FALSE_NEGATIVE,572,321371,2,321373,Bear,Bull,Bull,base,0,0,0,0,0,0,0,0,0.8765020699047454,0.1711766004546916,0
