policy,rows,share_all,base_bear_rows,share_of_bear_rows,adaptive_triggers,good,bad,mean_wrong_bear_rate,mean_disagreement_density,mean_transition_density,mean_abs_hinge_mean
base,928,0.9914529914529915,186,0.9587628865979382,0,0,0,0.009314278872468528,0.016774425287356322,0.012895114942528733,0.008248844547498429
winner,8,0.008547008547008548,8,0.041237113402061855,8,6,2,0.43303571428571425,0.8625,0.6916666666666667,0.41186179208150353
