variant,flip_score_threshold,alignment_threshold,compression_velocity_min,ratio_threshold,changed_rows_count,new_directional_called,baseline_directional_called,baseline_directional_accuracy,baseline_directional_coverage,baseline_bull_precision,baseline_bear_precision,new_directional_accuracy,new_directional_coverage,new_bull_precision,new_bear_precision,delta_directional_accuracy,delta_directional_coverage,delta_bull_precision,delta_bear_precision
bull_to_neutral,0.12,1.0,,,21,173,194,0.5721649484536082,0.40082644628099173,0.6133333333333333,0.5462184873949579,0.5664739884393064,0.3574380165289256,0.6111111111111112,0.5462184873949579,-0.005690960014301805,-0.04338842975206614,-0.0022222222222221255,0.0
bull_to_bear,0.12,1.0,,,21,194,194,0.5721649484536082,0.40082644628099173,0.6133333333333333,0.5462184873949579,0.5463917525773195,0.40082644628099173,0.6111111111111112,0.5214285714285715,-0.02577319587628868,0.0,-0.0022222222222221255,-0.024789915966386467
bull_to_neutral,0.12,1.0,,0.0,19,175,194,0.5721649484536082,0.40082644628099173,0.6133333333333333,0.5462184873949579,0.5657142857142857,0.3615702479338843,0.6071428571428571,0.5462184873949579,-0.006450662739322488,-0.03925619834710742,-0.006190476190476191,0.0
bull_to_bear,0.12,1.0,,0.0,19,194,194,0.5721649484536082,0.40082644628099173,0.6133333333333333,0.5462184873949579,0.5463917525773195,0.40082644628099173,0.6071428571428571,0.5217391304347826,-0.02577319587628868,0.0,-0.006190476190476191,-0.024479356960175336
bull_to_neutral,0.12,1.0,,-0.05,18,176,194,0.5721649484536082,0.40082644628099173,0.6133333333333333,0.5462184873949579,0.5625,0.36363636363636365,0.5964912280701754,0.5462184873949579,-0.009664948453608213,-0.037190082644628086,-0.01684210526315788,0.0
bull_to_bear,0.12,1.0,,-0.05,18,194,194,0.5721649484536082,0.40082644628099173,0.6133333333333333,0.5462184873949579,0.5412371134020618,0.40082644628099173,0.5964912280701754,0.5182481751824818,-0.030927835051546393,0.0,-0.01684210526315788,-0.027970312212476145
bull_to_neutral,0.12,1.0,,-0.1,17,177,194,0.5721649484536082,0.40082644628099173,0.6133333333333333,0.5462184873949579,0.5649717514124294,0.365702479338843,0.603448275862069,0.5462184873949579,-0.007193197041178823,-0.035123966942148754,-0.009885057471264336,0.0
bull_to_bear,0.12,1.0,,-0.1,17,194,194,0.5721649484536082,0.40082644628099173,0.6133333333333333,0.5462184873949579,0.5463917525773195,0.40082644628099173,0.603448275862069,0.5220588235294118,-0.02577319587628868,0.0,-0.009885057471264336,-0.024159663865546133
bull_to_neutral,0.12,1.0,0.0,,13,181,194,0.5721649484536082,0.40082644628099173,0.6133333333333333,0.5462184873949579,0.569060773480663,0.3739669421487603,0.6129032258064516,0.5462184873949579,-0.0031041749729452395,-0.026859504132231427,-0.0004301075268816623,0.0
bull_to_bear,0.12,1.0,0.0,,13,194,194,0.5721649484536082,0.40082644628099173,0.6133333333333333,0.5462184873949579,0.5567010309278351,0.40082644628099173,0.6129032258064516,0.5303030303030303,-0.015463917525773141,0.0,-0.0004301075268816623,-0.015915457091927654
