model,display_name,acc,cov,bear,trig,good,bad,capture
adaptive_meta,pred_adaptive_meta,0.5555555555555556,0.375,0.5412371134020618,0,0,0,0.0
pred_v22_base,v2_2 (base),0.5555555555555556,0.375,0.5412371134020618,0,0,0,0.0
bear_corea,pred_corea,0.5524691358024691,0.34615384615384615,0.5329341317365269,27,11,16,0.23076923076923078
bear_pm1_soft,pred_fallback,0.551948051948052,0.32905982905982906,0.5298013245033113,43,18,25,0.38461538461538464
bear_pm1_h018,pred_winner,0.5511551155115512,0.32371794871794873,0.5273972602739726,48,20,28,0.46153846153846156
