model,triggers,good_neutralizations,bad_neutralizations,override_precision,override_harm_rate,base_wrong_rate_inside_trigger,base_wrong_rate_outside_trigger,directional_accuracy,directional_coverage,neutral_rate
ruleb_raw,28,14,14,0.5,0.5,0.5,0.8006607929515418,0.5603715170278638,0.3450854700854701,0.6549145299145299
ruleb_persist,6,1,5,0.16666666666666666,0.8333333333333334,0.16666666666666666,0.7956989247311828,0.5507246376811594,0.3685897435897436,0.6314102564102564
ruleb_osc,28,14,14,0.5,0.5,0.5,0.8006607929515418,0.5603715170278638,0.3450854700854701,0.6549145299145299
ruleb_combo,28,14,14,0.5,0.5,0.5,0.8006607929515418,0.5603715170278638,0.3450854700854701,0.6549145299145299
