window_center_index,window_type,relative_pos,window_center_epoch,epoch,truth,base,pred_bear_pm1_h018,trigger_bear_pm1_h018,ruleb_raw_warning,core_window_pm1,pm1_centered_soft,pm1_hinge_018,phase3,fs3,fast_alt,slow_retention,abs_hinge,transition_score_v23
211,WINNER_TRIGGER,2,320992,320993,Bear,Neutral,Neutral,0,1,0,0,0,0,0,0,1.1353941480319918,0.2470703297389247,1
451,WINNER_TRIGGER,-2,321230,321228,Bull,Bear,Bear,0,0,1,0,0,1,1,1,2.9129483335964323,0.0258325522183499,0
451,WINNER_TRIGGER,-1,321230,321229,Bull,Neutral,Neutral,0,0,1,1,1,2,2,1,0.6493649733383791,0.3323932083048969,1
451,WINNER_TRIGGER,0,321230,321230,Bear,Bear,Neutral,1,1,1,1,1,1,1,0,2.167359932764157,0.3744731433445593,1
451,WINNER_TRIGGER,1,321230,321231,Bear,Neutral,Neutral,0,0,1,0,0,2,2,0,1.1353045328742155,0.1451846358297214,1
451,WINNER_TRIGGER,2,321230,321232,Bear,Bear,Bear,0,0,1,0,0,1,1,0,0.8233322518681234,0.0517661737742932,0
457,WINNER_TRIGGER,-2,321234,321233,Bull,Neutral,Neutral,0,0,1,1,1,0,1,0,0.6512142529663834,0.233388982113892,0
457,WINNER_TRIGGER,-1,321234,321234,Bull,Neutral,Neutral,0,0,1,0,0,0,2,1,2.0394933024490456,0.0652866883672665,1
457,WINNER_TRIGGER,0,321234,321234,Bull,Bear,Neutral,1,1,1,1,1,0,2,1,1.831069725421912,0.793730193545626,2
457,WINNER_TRIGGER,1,321234,321235,Bear,Neutral,Neutral,0,0,1,0,0,1,2,0,0.8483160173655051,0.1056035878282287,1
457,WINNER_TRIGGER,2,321234,321236,Bull,Neutral,Neutral,0,0,1,1,1,2,2,0,0.4086244959034957,1.0,2
546,WINNER_TRIGGER,-2,321341,321339,Bear,Neutral,Neutral,0,0,0,0,0,1,0,0,0.150170654133035,1.0,2
546,WINNER_TRIGGER,-1,321341,321340,Bull,Neutral,Neutral,0,0,0,0,0,2,1,0,0.1186585198229295,0.1178095180770539,1
546,WINNER_TRIGGER,0,321341,321341,Bull,Bear,Neutral,1,1,1,1,1,2,1,0,1.97990277538338,0.2125949170883987,1
546,WINNER_TRIGGER,1,321341,321341,Bull,Neutral,Neutral,0,1,1,1,1,2,2,0,1.6472531718991377,0.9408004454258224,2
546,WINNER_TRIGGER,2,321341,321343,Bull,Neutral,Neutral,0,0,1,1,1,1,1,0,0.260026034888142,0.232689390229609,0
685,WINNER_TRIGGER,-2,321499,321497,Bull,Neutral,Neutral,0,0,1,1,1,1,1,1,0.2511546077039384,0.335862797269904,0
685,WINNER_TRIGGER,-1,321499,321498,Bear,Neutral,Neutral,0,0,1,1,1,2,2,0,0.0802965301027143,1.0,2
685,WINNER_TRIGGER,0,321499,321499,Bull,Bear,Neutral,1,1,1,1,1,1,1,0,1.7431309231815248,0.2227466203609453,1
685,WINNER_TRIGGER,1,321499,321500,Bear,Neutral,Neutral,0,1,1,1,1,2,2,0,0.965765947017644,0.3379784428111721,1
685,WINNER_TRIGGER,2,321499,321501,Bear,Bear,Bear,0,0,1,0,0,1,1,0,2.0674998646118183,0.1224329233240827,0
152,REMAINING_FALSE_NEGATIVE,-2,320920,320918,Bull,Bull,Bull,0,0,0,0,0,1,0,0,0.9032524854574148,0.3822545388083438,0
152,REMAINING_FALSE_NEGATIVE,-1,320920,320919,Bull,Neutral,Neutral,0,0,0,0,0,0,0,0,1.98856993094887,0.2372081586872534,0
152,REMAINING_FALSE_NEGATIVE,0,320920,320920,Bull,Bear,Bear,0,1,0,0,0,0,0,0,1.6361203413198382,0.3619156339245184,1
152,REMAINING_FALSE_NEGATIVE,1,320920,320921,Bear,Neutral,Neutral,0,0,0,0,0,0,1,1,0.7302693111578265,0.1656388329725051,0
152,REMAINING_FALSE_NEGATIVE,2,320920,320922,Bull,Bear,Bear,0,0,1,0,0,0,1,1,0.9821271268119744,0.0481249668050266,1
219,REMAINING_FALSE_NEGATIVE,-2,320997,320995,Bull,Bull,Bull,0,0,0,0,0,1,1,1,1.015190276724752,0.2747295435739196,0
219,REMAINING_FALSE_NEGATIVE,-1,320997,320996,Bull,Neutral,Neutral,0,0,0,0,0,1,1,0,0.1541129462893877,0.3544321342369236,0
219,REMAINING_FALSE_NEGATIVE,0,320997,320997,Bull,Bear,Bear,0,1,0,0,0,0,0,0,1.1129530002544925,0.2932370400084516,1
219,REMAINING_FALSE_NEGATIVE,1,320997,320998,Bear,Neutral,Neutral,0,1,1,1,1,1,1,1,1.8529405720510117,0.4168001713846043,1
219,REMAINING_FALSE_NEGATIVE,2,320997,320998,Bear,Neutral,Neutral,0,0,1,0,0,2,2,0,0.7697532613055955,0.1021654883899352,1
397,REMAINING_FALSE_NEGATIVE,-2,321170,321167,Bull,Neutral,Neutral,0,0,0,0,0,0,0,0,0.3471565745603584,1.0,1
