model,rows,directional_called,neutral_called,directional_accuracy,directional_coverage,neutral_rate,bull_precision,bear_precision,bull_recall,bear_recall,tp_bull,fp_bull,tp_bear,fp_bear
v2_2 (base),936,351,585,0.5555555555555556,0.375,0.625,0.5732484076433121,0.5412371134020618,0.19522776572668113,0.2219873150105708,90,67,105,89
RuleB raw,936,323,613,0.5603715170278638,0.3450854700854701,0.6549145299145299,0.5769230769230769,0.5449101796407185,0.19522776572668113,0.19238900634249473,90,66,91,76
RuleB + persistence,936,345,591,0.5507246376811594,0.3685897435897436,0.6314102564102564,0.5732484076433121,0.5319148936170213,0.19522776572668113,0.21141649048625794,90,67,100,88
RuleB + oscillation,936,323,613,0.5603715170278638,0.3450854700854701,0.6549145299145299,0.5769230769230769,0.5449101796407185,0.19522776572668113,0.19238900634249473,90,66,91,76
RuleB + (persist OR oscillation),936,323,613,0.5603715170278638,0.3450854700854701,0.6549145299145299,0.5769230769230769,0.5449101796407185,0.19522776572668113,0.19238900634249473,90,66,91,76
