model_id,epoch,next_epoch,timestamp,pred_v22_base,confidence,score,reason,truth,start_price,end_price,price_difference,round_current_timestamp,round_next_epoch_time,correct,directional_called,directional_correct,bull_called,bear_called,neutral_called,bull_called_bear_truth,bear_called_bull_truth,neutral_called_bull_truth,neutral_called_bear_truth,bull_called_neutral_truth,bear_called_neutral_truth,regime,run_direction,g8,g23,g38,g53,g68,g83,slope_g8,slope_g23,slope_g38,slope_g53,slope_g68,slope_g83,fan_width,fan_width_velocity,fan_width_acceleration,fan_order_score,g83_curvature,alignment,compression_velocity,flip_score,slope_sum,slope_magnitude,ratio_8_23_to_23_53,s23,s53,fan_width_raw,alignment_raw,compression_velocity_raw,flip_score_raw,slope_sign_s23,slope_sign_s53,slope_disagreement,slope_gap,abs_slope_sum,abs_compression_velocity,abs_flip_score,fan_to_slope_ratio,collapse_flag,weak_bull_exhaustion_flag,weak_bear_exhaustion_flag,possible_flip_zone,possible_run_zone,possible_transition_zone,fan_energy_total,fan_energy_ratio,fan_energy_velocity,fan_energy_acceleration,fan_sign_conflict,fan_energy_instability,hinge_gap,hinge_velocity,hinge_conflict,hinge_torsion,snap_divergence,snap_velocity,snap_score,phase_alignment,phase_strength,phase_velocity,fan_phase_score,phase_disagreement,hinge_torsion_spike,transition_score_base,fan_polarity_inversion,fan_polarity_normal,outer_fan_width,outer_fan_width_prev,outer_order_signature,slow_retention,gaussian_wave,wave_strength,fan_velocity_sign_t0,fan_velocity_sign_t1,fan_velocity_sign_t2,fan_velocity_pattern_3,fan_velocity_oscillation,fan_velocity_oscillation_strength,fan_collapse_v2,fan_collapse_v2_strict,compression_trap,compression_trap_strict,epoch_start_price,epoch_end_price,epoch_price_diff,epoch_return,epoch_volatility,price_diff_t0,price_diff_t1,price_diff_t2,momentum_3epoch,price_diff_3epoch_abs_sum,price_diff_sign_pattern,direction_flip,price_diff_decay_ratio,price_diff_vol_squeeze,fan_energy_t0,fan_energy_t1,fan_energy_t2,fan_energy_t3,fan_energy_release_signal,fan_energy_cycle_stage,inertia_wall_score,reversal_pressure,tail_anchor_type,extrema_pair,v2_2_rule,directional_error_type,truth_direction_group,prediction_direction_group,hinge_torsion_spike,transition_score_v23,fan_energy_t0,abs_hinge,fast_sign_now,slow_sign_now,fs_disagree_now,fs_disagree_count_3,fast_alt_3epoch,phase_disagree_count_3,polarity_inv_count_3,energy_delta,energy_sign,energy_flip_count_3,width_rebound_pattern_3,osc_core_phase,osc_core_fs,osc_core_fastalt,osc_core_count,osc_core_a,center_any_support,center_phase_or_fs,phase_support_pm1,fs_support_pm1,fastalt_support_pm1,core_window_pm1,pm1_centered_soft,pm1_hinge_018,ruleb_raw_warning,pred_corea,trigger_corea,override_help_class_corea,pred_fallback,trigger_fallback,override_help_class_fallback,pred_winner,trigger_winner,override_help_class_winner,adaptive_policy_meta,adaptive_reason_meta,pred_adaptive_meta,trigger_adaptive_meta
trend_method_v2_2,320801,320802,2026-03-10T01:40:44.138771,Bear,1.0,-0.8624116344017239,regime=RUN|slope_sum=-0.862412|v2_2_rule=STRONG_RUN_PROMOTION,Bull,70083.17,70094.01,10.84,03/10/2026  01:36:11 AM,03/10/2026  01:40:58 AM,False,True,False,False,True,False,False,True,False,False,False,False,RUN,Bear,69934.9456337576,69954.80153957331,69964.58620329267,69975.93935663978,69988.82533854908,70000.74450226028,-1.0835673838519142,-0.4782845498521055,-0.3305013337958371,-0.3841270845496183,-0.3973473651931272,-0.3648180784621218,65.7988685026794,72.12525531474967,90.46588402583438,1.0,-108.68145114640356,1.0,18.86048506820225,0.0569380835983402,-0.8624116344017239,0.8624116344017239,0.9393546056499036,-0.4782845498521055,-0.3841270845496183,65.7988685026794,1.0,18.86048506820225,0.0569380835983402,-1,-1,False,0.0941574653024872,0.8624116344017239,18.86048506820225,0.0569380835983402,76.29635997237641,False,False,False,False,False,False,3.038645795704724,1.6508467262395454,2.471156344139672,4.019420985658144,False,0.2491048177019897,-9.784663719357924,-9.21308391042112,False,0.182722298996748,0.7530660500560771,0.4518533774971729,0.397952149310374,1.0,3.038645795704724,0.5,0.2870746348286598,0,0,1,1,0,24.80514562049939,6.481342949191458,83>68>53,1.1462925282048673,0.0,110.19811783159092,1,-1,-1,--+,0,110.19811783159092,0,0,0,0,70083.17,70094.01,10.84,0.0001546733687988,10.84,10.84,-48.29,-44.55,-82.0,103.68,--+,1,0.2433221099887766,0,3.038645795704724,0.5674894515650521,2.115754093083524,1.2761924754559004,0,other,6.687211761256306,-80.80094673791609,,,STRONG_RUN_PROMOTION,bear_called_bull_truth,Bull,Bear,0,1,3.038645795704724,0.182722298996748,-1,-1,0,2,0,2,1,2.471156344139672,1,2,0,1,1,0,2,1,1,1,1,1,0,1,0,1,1,Neutral,1,GOOD_NEUTRALIZE_WRONG_BASE,Bear,0,NO_EFFECT,Neutral,1,GOOD_NEUTRALIZE_WRONG_BASE,base,meta_not_enough_neighbors,Bear,0
trend_method_v2_2,320920,320921,2026-03-10T11:39:05.202186,Bear,1.0,-2.558604705674952,regime=RUN|slope_sum=-2.558605|v2_2_rule=BASELINE_V2_1,Bull,71354.74,71419.48,64.74,03/10/2026  11:34:32 AM,03/10/2026  11:39:19 AM,False,True,False,False,True,False,False,True,False,False,False,False,RUN,Bear,71192.4212931149,71253.9919888447,71288.25237293562,71306.59718797452,71323.13101991473,71336.99165373313,-1.94775636043596,-1.9227143288462685,-0.9008296278461784,-0.6358903768286837,-0.5495251370684855,-0.450704827422669,144.570360618236,286.4382001947524,355.5795421559451,1.0,-243.19204762730809,1.0,57.57114320402616,0.166634580844298,-2.558604705674952,2.558604705674952,1.170429857640107,-1.9227143288462685,-0.6358903768286837,144.570360618236,1.0,57.57114320402616,0.166634580844298,-1,-1,False,1.2868239520175848,2.558604705674952,57.57114320402616,0.166634580844298,56.50359365695718,False,False,False,False,False,False,6.407420658448245,2.916228223945592,0.9907578448419372,-1.0208880069367297,False,0.5978609066871489,-34.26038409091416,-75.57961640122812,False,0.3619156339245184,1.0469267325897815,-1.9592223492745688,0.2194216802558912,1.0,6.407420658448245,0.1666666666666666,0.6053380582619188,0,0,1,1,0,30.39446575861075,36.36184047274583,83>68>53,1.6361203413198382,0.0,379.23200191733486,1,-1,-1,--+,0,379.23200191733486,0,0,0,0,71354.74,71419.48,64.74,0.0009072978193179,64.74,64.74,100.99,61.24,226.97,226.97,+++,0,1.057152188112345,0,6.407420658448245,5.416662813606308,3.4050169618276414,2.380435302668048,0,build,8.307351921269301,-281.95914810399154,,,BASELINE_V2_1,bear_called_bull_truth,Bull,Bear,0,1,6.407420658448245,0.3619156339245184,-1,-1,0,0,0,0,1,0.9907578448419372,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Bear,0,NO_EFFECT,Bear,0,NO_EFFECT,Bear,0,NO_EFFECT,base,meta_not_enough_neighbors,Bear,0
trend_method_v2_2,320956,320957,2026-03-10T14:39:56.086957,Bear,1.0,-1.6943877668109053,regime=RUN|slope_sum=-1.694388|v2_2_rule=STRONG_RUN_PROMOTION,Bull,70340.56,70388.61,48.05,03/10/2026  02:35:22 PM,03/10/2026  02:40:10 PM,False,True,False,False,True,False,False,True,False,False,False,False,RUN,Bear,70141.57690048564,70184.23697274283,70206.29913974424,70223.73928954435,70239.4572374634,70253.24838648173,-2.036522890561173,-1.123424023782718,-0.6722751076977147,-0.5709637430281873,-0.5042086116809514,-0.4439383915905637,111.67148599609207,112.56675571174128,98.14703681629908,1.0,-90.1531530446955,1.0,44.39966509968508,0.0897988257946315,-1.6943877668109053,1.6943877668109053,1.0799384874172828,-1.123424023782718,-0.5709637430281873,111.67148599609207,1.0,44.39966509968508,0.0897988257946315,-1,-1,False,0.5524602807545307,1.6943877668109053,44.39966509968508,0.0897988257946315,65.90668805776069,False,False,False,False,False,False,5.351332768341308,2.5226745524486955,3.031156655119048,2.991617241215863,False,0.2864499135402814,-22.062167001407943,-15.536959887191188,False,0.2512385890129943,1.3642477828634585,-0.4242203834128304,0.3559939312014754,1.0,5.351332768341308,0.3333333333333333,0.4811818245432997,0,0,1,1,0,29.50909693738504,7.988775937454193,83>68>53,1.5191107462997024,0.0,186.47437694863768,1,1,1,+++,0,186.47437694863768,0,0,0,0,70340.56,70388.61,48.05,0.0006831051672036,48.05,48.05,28.56,124.62,201.23,201.23,+++,0,0.3855721393034825,0,5.351332768341308,2.32017611322226,2.280636699319075,4.935198009621672,0,build,8.02260432121809,-83.03429731252072,,,STRONG_RUN_PROMOTION,bear_called_bull_truth,Bull,Bear,0,1,5.351332768341308,0.2512385890129943,-1,-1,0,2,1,2,1,3.031156655119048,1,1,0,1,1,1,3,1,1,1,1,1,1,1,1,1,1,Neutral,1,GOOD_NEUTRALIZE_WRONG_BASE,Neutral,1,GOOD_NEUTRALIZE_WRONG_BASE,Neutral,1,GOOD_NEUTRALIZE_WRONG_BASE,base,meta_not_enough_neighbors,Bear,0
trend_method_v2_2,320992,320993,2026-03-10T17:40:53.077778,Bear,1.0,-0.82811925126407,regime=RUN|slope_sum=-0.828119|v2_2_rule=BASELINE_V2_1,Bull,69976.75,70018.71,41.96,03/10/2026  05:36:22 PM,03/10/2026  05:41:07 PM,False,True,False,False,True,False,False,True,False,False,False,False,RUN,Bear,69790.32102862265,69800.88507140023,69810.34139640295,69831.4117480326,69853.79011979798,69873.0516682437,-1.1642395148155629,-0.1589597483507532,-0.4587377219068003,-0.6691595029133168,-0.6651357775826909,-0.5884032758567628,82.73063962104789,93.52960981606157,110.8949365268345,1.0,-133.42263719881885,1.0,-0.079367328522494,0.1030143828316968,-0.82811925126407,0.82811925126407,0.3460593796192831,-0.1589597483507532,-0.6691595029133168,82.73063962104789,1.0,-0.079367328522494,0.1030143828316968,-1,-1,False,0.5101997545625636,0.82811925126407,0.079367328522494,0.1030143828316968,99.90184323666544,False,False,False,False,False,False,3.704635541425887,0.9267895787332002,2.772527430055561,4.276144120411118,False,0.1924007870838773,-9.456325002713127,-11.431198292732006,False,0.4853152036239559,1.3050577400208567,0.6663047818456107,0.7323815325418522,1.0,3.704635541425887,0.1666666666666666,0.3331138926058221,0,0,1,1,0,41.63992021110607,1.454828939124127,83>68>53,1.9226985563527703,1.0,120.79522536622244,1,-1,1,+-+,1,120.79522536622244,0,0,0,0,69976.75,70018.71,41.96,0.0005996277334971,41.96,41.96,-79.24,30.22,-7.059999999999995,151.42,+-+,1,1.388484447385837,0,3.704635541425887,0.9321081113703258,2.4357248017258826,0.6836945536215353,0,other,11.25185675586122,-98.79743345225688,,,BASELINE_V2_1,bear_called_bull_truth,Bull,Bear,0,1,3.704635541425887,0.4853152036239559,-1,-1,0,1,0,1,1,2.772527430055561,1,2,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,Bear,0,NO_EFFECT,Neutral,1,GOOD_NEUTRALIZE_WRONG_BASE,Neutral,1,GOOD_NEUTRALIZE_WRONG_BASE,base,meta_not_enough_neighbors,Bear,0
trend_method_v2_2,320997,320998,2026-03-10T18:06:02.122935,Bear,1.0,-2.080306526624554,regime=RUN|slope_sum=-2.080307|v2_2_rule=BASELINE_V2_1,Bull,69795.29,69814.08,18.79,03/10/2026  06:01:55 PM,03/10/2026  06:06:16 PM,False,True,False,False,True,False,False,True,False,False,False,False,RUN,Bear,69662.9805125614,69717.5694967906,69747.24174326487,69764.40786186753,69774.66937810929,69780.58541144733,-2.048114386263478,-1.540606517730339,-0.8419520853240101,-0.539700008894215,-0.3478904329258512,-0.2253625584344263,117.6048988859402,103.2797543821216,40.42175649307319,1.0,-38.99808430472331,1.0,62.55109989731864,0.1036158648320928,-2.080306526624554,2.080306526624554,1.165475868732602,-1.540606517730339,-0.539700008894215,117.6048988859402,1.0,62.55109989731864,0.1036158648320928,-1,-1,False,1.000906508836124,2.080306526624554,62.55109989731864,0.1036158648320928,56.53248566054473,False,False,False,False,False,False,5.54362598957232,3.9810063752060425,4.076694605884768,4.554797793603939,False,0.3196949431763267,-29.67224647426337,-21.067288619829924,False,0.2932370400084516,1.206162300939468,-0.1262879344212706,0.2722300435729462,1.0,5.54362598957232,0.5,0.4984724710130251,0,0,1,1,0,16.17754957980651,3.119889438879909,83>68>53,1.1129530002544925,0.0,195.30564972346477,1,1,-1,-++,0,195.30564972346477,0,0,0,0,69795.29,69814.08,18.79,0.0002692158740224,18.79,18.79,70.18,101.11,190.08,190.08,+++,0,0.1858372070022747,1,5.54362598957232,1.4669313836875515,1.9450345714067223,1.871215572962683,0,other,4.533554151054692,-19.480755807664536,,,BASELINE_V2_1,bear_called_bull_truth,Bull,Bear,0,1,5.54362598957232,0.2932370400084516,-1,-1,0,0,0,0,1,4.076694605884768,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Bear,0,NO_EFFECT,Bear,0,NO_EFFECT,Bear,0,NO_EFFECT,base,meta_not_enough_neighbors,Bear,0
trend_method_v2_2,321170,321171,2026-03-11T08:34:59.083074,Bear,1.0,-1.692326862077607,regime=RUN|slope_sum=-1.692327|v2_2_rule=BASELINE_V2_1,Bull,69400.42,69694.32,293.9,03/11/2026  08:30:27 AM,03/11/2026  08:35:13 AM,False,True,False,False,True,False,False,True,False,False,False,False,RUN,Bear,69282.362627698,69298.47639848723,69330.96944814606,69362.1118800283,69382.13580840336,69393.0896707507,-0.7544646244896285,-0.7885716594792029,-1.0929239205634076,-0.903755202598404,-0.6122831926859362,-0.3865928667401022,110.72704305269872,206.55452258815055,292.85684457029856,1.0,12.991304206690984,1.0,3.079782469314523,0.370026279128589,-1.692326862077607,1.692326862077607,0.2532199081194257,-0.7885716594792029,-0.903755202598404,110.72704305269872,1.0,3.079782469314523,0.370026279128589,-1,-1,False,0.1151835431192012,1.692326862077607,3.079782469314523,0.370026279128589,65.42887519776365,False,False,False,False,False,False,4.5385914665566816,1.3854288306644966,0.8168129094647156,-2.399896103033825,False,0.5323152655581118,-32.493049658834934,-57.93104444468918,False,0.1617608164018711,0.3384592960737791,-0.1568510623710608,0.1284007609416243,1.0,4.5385914665566816,0.0,0.338021722617599,0,0,1,1,0,30.97779072240519,37.13843249474303,83>68>53,1.9026312620244423,1.0,349.0366877568304,1,-1,1,+-+,1,349.0366877568304,0,0,0,0,69400.42,69694.32,293.9,0.0042348446882598,293.9,293.9,-11.96,171.32,453.26,477.18,+-+,1,1.7155031519962642,0,4.5385914665566816,3.721778557091966,0.5050695445934252,2.57592131086858,0,build,8.529764307871355,-235.08265118798045,,,BASELINE_V2_1,bear_called_bull_truth,Bull,Bear,0,1,4.5385914665566816,0.1617608164018711,-1,-1,0,0,0,0,1,0.8168129094647156,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Bear,0,NO_EFFECT,Bear,0,NO_EFFECT,Bear,0,NO_EFFECT,base,meta_not_enough_neighbors,Bear,0
trend_method_v2_2,321189,321190,2026-03-11T10:10:20.236801,Bear,1.0,-0.9450934249125568,regime=RUN|slope_sum=-0.945093|v2_2_rule=BASELINE_V2_1,Bull,70253.97,70367.59,113.62,03/11/2026  10:05:47 AM,03/11/2026  10:10:34 AM,False,True,False,False,True,False,False,True,False,False,False,False,RUN,Bear,70227.18769506321,70240.33061343271,70254.70310117754,70273.15008371018,70293.00842295635,70311.0510895607,-1.0030178627130226,-0.3528853182433522,-0.5180805830641475,-0.5922081066692044,-0.609671205671475,-0.5439194408227195,83.8633944974863,77.59275710354268,208.3164660015318,1.0,-487.6208075451141,1.0,10.219928551843624,0.1934070760923315,-0.9450934249125568,0.9450934249125568,0.4004610146960378,-0.3528853182433522,-0.5922081066692044,83.8633944974863,1.0,10.219928551843624,0.1934070760923315,-1,-1,False,0.2393227884258522,0.9450934249125568,10.219928551843624,0.1934070760923315,88.73556019633259,False,False,False,False,False,False,3.619782517183921,1.0734248495852408,-0.7904445564818161,0.7428988684550859,False,0.2070824703002791,-14.372487744825776,15.68230040607159,False,0.1896690382169991,0.8153278092904657,-2.3556270942735864,0.435077306935268,1.0,3.619782517183921,0.3333333333333333,0.2695913767466422,0,0,1,1,0,37.90100585052278,48.03605960990535,83>68>53,1.745798753163399,1.0,257.44398967649613,1,-1,1,+-+,1,257.44398967649613,0,0,0,0,70253.97,70367.59,113.62,0.0016172751518526,113.62,113.62,271.93,-233.77,151.78,619.32,-++,0,0.486033280574924,0,3.619782517183921,4.410227073665737,5.943570498602639,3.974908975826111,0,decay,10.202021319628605,-194.9897926897338,,,BASELINE_V2_1,bear_called_bull_truth,Bull,Bear,0,1,3.619782517183921,0.1896690382169991,-1,-1,0,1,0,1,2,-0.7904445564818166,-1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,Bear,0,NO_EFFECT,Bear,0,NO_EFFECT,Bear,0,NO_EFFECT,base,meta_not_enough_neighbors,Bear,0
trend_method_v2_2,321234,321235,2026-03-11T13:57:23.295571,Bear,1.0,-0.7245025283045834,regime=RUN|slope_sum=-0.724503|v2_2_rule=BASELINE_V2_1,Bull,70844.14,70880.4,36.26,03/11/2026  01:51:52 PM,03/11/2026  01:56:39 PM,False,True,False,False,True,False,False,True,False,False,False,False,RUN,Bear,70695.37647722577,70701.47011015854,70712.30034629208,70733.74478024719,70755.18078561239,70772.45284518221,-1.1159606225191965,-0.0568357742249645,-0.4942460850343195,-0.6676667540796188,-0.6338092249407055,-0.5295937464015879,77.07636795644066,-31.61250585768721,-180.71197526580363,1.0,17.85377129673725,1.0,-7.662658355009626,0.1724144086047696,-0.7245025283045834,0.7245025283045834,0.1888054290203642,-0.0568357742249645,-0.6676667540796188,77.07636795644066,1.0,-7.662658355009626,0.1724144086047696,-1,-1,False,0.6108309798546543,0.7245025283045834,7.662658355009626,0.1724144086047696,106.3852297890636,False,False,False,False,False,False,3.4981122072003927,0.9104199903662124,-1.8945810035984323,-5.151957453592331,False,0.4906219564194766,-10.830236133537255,22.521508942896617,False,0.793730193545626,1.496535159103587,-0.9294424673171306,0.8977186697168099,1.0,3.4981122072003927,0.1666666666666666,0.2605297090298843,0,0,1,1,0,38.7080649350246,35.95077313782531,83>68>53,1.831069725421912,0.0,208.33226669473515,-1,1,1,++-,0,208.33226669473515,0,0,0,0,70844.14,70880.4,36.26,0.0005118277954958,36.26,36.26,36.26,115.38,187.9,187.9,+++,0,0.3142659039694921,0,3.4981122072003927,5.392693210798825,2.135316760804926,2.709781764731815,0,other,10.528503652956758,202.30404174138312,,,BASELINE_V2_1,bear_called_bull_truth,Bull,Bear,1,2,3.4981122072003927,0.793730193545626,-1,-1,0,2,1,0,2,-1.8945810035984323,-1,2,0,0,1,1,2,1,1,1,0,1,1,1,1,1,1,Neutral,1,GOOD_NEUTRALIZE_WRONG_BASE,Neutral,1,GOOD_NEUTRALIZE_WRONG_BASE,Neutral,1,GOOD_NEUTRALIZE_WRONG_BASE,base,meta_not_enough_neighbors,Bear,0
trend_method_v2_2,321304,321305,2026-03-11T19:47:57.130448,Bear,1.0,-1.4498633531966334,regime=RUN|slope_sum=-1.449863|v2_2_rule=BASELINE_V2_1,Bull,70339.66,70383.03,43.37,03/11/2026  07:43:28 PM,03/11/2026  07:48:11 PM,False,True,False,False,True,False,False,True,False,False,False,False,RUN,Bear,70172.04005845755,70207.45311437451,70225.72606894968,70241.66821330124,70257.15798736025,70270.3533255439,-1.830981529647033,-0.9194946650222846,-0.564527925067523,-0.5303686881743488,-0.48613171173929,-0.4174072307177994,98.31326708634153,131.89142111249384,121.49003380296926,1.0,-122.31940781856248,1.0,38.798556477660895,0.0951156340697447,-1.4498633531966334,1.4498633531966334,1.0350125244928527,-0.9194946650222846,-0.5303686881743488,98.31326708634153,1.0,38.798556477660895,0.0951156340697447,-1,-1,False,0.3891259768479358,1.4498633531966334,38.798556477660895,0.0951156340697447,67.8086433935875,False,False,False,False,False,False,4.748911750368279,2.3118672701930176,3.457096255751821,4.494152425100765,False,0.2792222129189713,-18.27295457516448,-26.50603348414006,False,0.2391922753233023,1.2664536045795105,0.9054186820940232,0.3820368116707037,1.0,4.748911750368279,0.0,0.3536857948654047,0,0,1,1,0,28.68511224265967,5.846446966577787,83>68>53,1.4339076306314382,0.0,226.92338124668456,1,1,-1,-++,0,226.92338124668456,0,0,0,0,70339.66,70383.03,43.37,0.000616579608147,43.37,43.37,45.24,-51.47,37.14,140.08,-++,0,0.8426267728774043,1,4.748911750368279,1.2918154946164575,2.328871663965401,1.472340426465962,0,other,7.780719954215988,-94.07858163673518,,,BASELINE_V2_1,bear_called_bull_truth,Bull,Bear,0,1,4.748911750368279,0.2391922753233023,-1,-1,0,1,1,0,1,3.4570962557518214,1,2,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,Bear,0,NO_EFFECT,Bear,0,NO_EFFECT,Bear,0,NO_EFFECT,base,meta_not_enough_neighbors,Bear,0
trend_method_v2_2,321341,321342,2026-03-11T22:53:56.128645,Bear,1.0,-1.1922514247326037,regime=RUN|slope_sum=-1.192251|v2_2_rule=BASELINE_V2_1,Bull,69430.91,69456.96,26.05,03/11/2026  10:49:23 PM,03/11/2026  10:54:10 PM,False,True,False,False,True,False,False,True,False,False,False,False,RUN,Bear,69247.56585143074,69256.65728198402,69276.11453246496,69300.0622985243,69322.03079688121,69340.24755292598,-0.0819600963677658,-0.4531000292008684,-0.6977689175055275,-0.739151395531735,-0.669433457958803,-0.5713179218928417,92.6817014952394,91.62962656440504,89.6836677594838,1.0,-142.12052869984473,1.0,-4.299026423293981,0.2480948850134155,-1.1922514247326037,1.1922514247326037,0.2094557559869573,-0.4531000292008684,-0.739151395531735,92.6817014952394,1.0,-4.299026423293981,0.2480948850134155,-1,-1,False,0.2860513663308666,1.1922514247326037,4.299026423293981,0.2480948850134155,77.73670852691656,False,False,False,False,False,False,3.212731818457541,0.622671506097284,2.5492379789047845,2.336512618803681,False,0.153492929100575,-19.457250480933,-16.696060739748646,False,0.2125949170883987,0.6158088211377617,0.2967742935197748,0.4995086906796024,1.0,3.212731818457541,0.5,0.2392753680487772,0,0,1,1,0,40.185254401687416,4.173678802282666,83>68>53,1.97990277538338,0.0,166.90756162829348,1,1,-1,-++,0,166.90756162829348,0,0,0,0,69430.91,69456.96,26.05,0.000375193123639,26.05,26.05,11.8,-86.09,-48.24000000000001,123.94,-++,0,0.3025903124637008,0,3.212731818457541,0.663493839552757,0.4507684794516535,2.5970542930026568,0,build,10.870163948138464,-72.69083272621538,,,BASELINE_V2_1,bear_called_bull_truth,Bull,Bear,0,1,3.212731818457541,0.2125949170883987,-1,-1,0,1,0,2,1,2.549237978904784,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1,Bear,0,NO_EFFECT,Neutral,1,GOOD_NEUTRALIZE_WRONG_BASE,Neutral,1,GOOD_NEUTRALIZE_WRONG_BASE,base,meta_not_enough_neighbors,Bear,0
