model,base_side,rows,triggers,good_neutralizations,bad_neutralizations,override_precision,override_harm_rate,base_wrong_rate_inside_trigger_all,base_wrong_rate_outside_trigger_all,base_wrong_rate_inside_trigger_directional,base_wrong_rate_outside_trigger_directional,good_wrong_bull,good_wrong_bear,bad_right_bull,bad_right_bear,directional_accuracy,directional_coverage,neutral_rate,bull_precision,bear_precision
ruleb_raw,ALL,936,28,14,14,0.5,0.5,0.5,0.8006607929515418,0.5,0.43962848297213625,1,13,0,14,0.5603715170278638,0.3450854700854701,0.6549145299145299,0.5769230769230769,0.5449101796407185
ruleb_raw,Bull,157,1,1,0,1.0,0.0,1.0,0.4230769230769231,1.0,0.4230769230769231,1,0,0,0,0.5769230769230769,0.9936305732484076,0.006369426751592357,0.5769230769230769,0.0
ruleb_raw,Bear,194,27,13,14,0.48148148148148145,0.5185185185185185,0.48148148148148145,0.4550898203592814,0.48148148148148145,0.4550898203592814,0,13,0,14,0.5449101796407185,0.8608247422680413,0.13917525773195877,0.0,0.5449101796407185
ruleb_core_a,ALL,936,3,3,0,1.0,0.0,1.0,0.7909967845659164,1.0,0.4396551724137931,0,3,0,0,0.5603448275862069,0.3717948717948718,0.6282051282051282,0.5732484076433121,0.5497382198952879
ruleb_core_a,Bull,157,0,0,0,0.0,0.0,0.0,0.4267515923566879,0.0,0.4267515923566879,0,0,0,0,0.5732484076433121,1.0,0.0,0.5732484076433121,0.0
ruleb_core_a,Bear,194,3,3,0,1.0,0.0,1.0,0.450261780104712,1.0,0.450261780104712,0,3,0,0,0.5497382198952879,0.9845360824742269,0.015463917525773196,0.0,0.5497382198952879
ruleb_core_b,ALL,936,2,2,0,1.0,0.0,1.0,0.791220556745182,1.0,0.44126074498567336,0,2,0,0,0.5587392550143266,0.37286324786324787,0.6271367521367521,0.5732484076433121,0.546875
ruleb_core_b,Bull,157,0,0,0,0.0,0.0,0.0,0.4267515923566879,0.0,0.4267515923566879,0,0,0,0,0.5732484076433121,1.0,0.0,0.5732484076433121,0.0
ruleb_core_b,Bear,194,2,2,0,1.0,0.0,1.0,0.453125,1.0,0.453125,0,2,0,0,0.546875,0.9896907216494846,0.010309278350515464,0.0,0.546875
ruleb_core_c,ALL,936,2,2,0,1.0,0.0,1.0,0.791220556745182,1.0,0.44126074498567336,0,2,0,0,0.5587392550143266,0.37286324786324787,0.6271367521367521,0.5732484076433121,0.546875
ruleb_core_c,Bull,157,0,0,0,0.0,0.0,0.0,0.4267515923566879,0.0,0.4267515923566879,0,0,0,0,0.5732484076433121,1.0,0.0,0.5732484076433121,0.0
ruleb_core_c,Bear,194,2,2,0,1.0,0.0,1.0,0.453125,1.0,0.453125,0,2,0,0,0.546875,0.9896907216494846,0.010309278350515464,0.0,0.546875
ruleb_core_a_bear,ALL,936,3,3,0,1.0,0.0,1.0,0.7909967845659164,1.0,0.4396551724137931,0,3,0,0,0.5603448275862069,0.3717948717948718,0.6282051282051282,0.5732484076433121,0.5497382198952879
ruleb_core_a_bear,Bull,157,0,0,0,0.0,0.0,0.0,0.4267515923566879,0.0,0.4267515923566879,0,0,0,0,0.5732484076433121,1.0,0.0,0.5732484076433121,0.0
ruleb_core_a_bear,Bear,194,3,3,0,1.0,0.0,1.0,0.450261780104712,1.0,0.450261780104712,0,3,0,0,0.5497382198952879,0.9845360824742269,0.015463917525773196,0.0,0.5497382198952879
ruleb_core_a_bull,ALL,936,0,0,0,0.0,0.0,0.0,0.7916666666666666,0.0,0.4444444444444444,0,0,0,0,0.5555555555555556,0.375,0.625,0.5732484076433121,0.5412371134020618
ruleb_core_a_bull,Bull,157,0,0,0,0.0,0.0,0.0,0.4267515923566879,0.0,0.4267515923566879,0,0,0,0,0.5732484076433121,1.0,0.0,0.5732484076433121,0.0
ruleb_core_a_bull,Bear,194,0,0,0,0.0,0.0,0.0,0.4587628865979381,0.0,0.4587628865979381,0,0,0,0,0.5412371134020618,1.0,0.0,0.0,0.5412371134020618
