policy,rows,share_all,base_bear_rows,share_of_bear_rows,adaptive_triggers,good,bad,mean_wrong_bear_rate,mean_disagreement_density,mean_transition_density,mean_abs_hinge_mean
base,928,0.9914529914529915,186,0.9587628865979382,0,0,0,0.4469974141040951,0.8386135057471266,0.675933908045977,0.43641944701780316
winner,6,0.00641025641025641,6,0.030927835051546393,6,4,2,0.4781746031746032,0.8666666666666668,0.7222222222222222,0.42739415204468006
corea,2,0.002136752136752137,2,0.010309278350515464,2,2,0,0.2976190476190476,0.8500000000000001,0.6,0.36526471219197376
