chunk,model,rows,trig,acc,cov,bear
1,base,234,0,0.6067415730337079,0.3803418803418803,0.6226415094339622
1,winner,234,5,0.6190476190476191,0.358974358974359,0.6458333333333334
1,fallback,234,3,0.6162790697674418,0.36752136752136755,0.64
1,meta_30,234,0,0.6067415730337079,0.3803418803418803,0.6226415094339622
1,meta_50,234,0,0.6067415730337079,0.3803418803418803,0.6226415094339622
1,meta_70,234,0,0.6067415730337079,0.3803418803418803,0.6226415094339622
1,meta_90,234,0,0.6067415730337079,0.3803418803418803,0.6226415094339622
2,base,234,0,0.5360824742268041,0.41452991452991456,0.47368421052631576
2,winner,234,2,0.5368421052631579,0.405982905982906,0.4727272727272727
2,fallback,234,2,0.5368421052631579,0.405982905982906,0.4727272727272727
2,meta_30,234,0,0.5360824742268041,0.41452991452991456,0.47368421052631576
2,meta_50,234,0,0.5360824742268041,0.41452991452991456,0.47368421052631576
2,meta_70,234,0,0.5360824742268041,0.41452991452991456,0.47368421052631576
2,meta_90,234,0,0.5360824742268041,0.41452991452991456,0.47368421052631576
3,base,234,0,0.5376344086021505,0.3974358974358974,0.5192307692307693
3,winner,234,2,0.5494505494505495,0.3888888888888889,0.54
3,fallback,234,1,0.5434782608695652,0.39316239316239315,0.5294117647058824
3,meta_30,234,0,0.5376344086021505,0.3974358974358974,0.5192307692307693
3,meta_50,234,0,0.5376344086021505,0.3974358974358974,0.5192307692307693
3,meta_70,234,0,0.5376344086021505,0.3974358974358974,0.5192307692307693
3,meta_90,234,0,0.5376344086021505,0.3974358974358974,0.5192307692307693
4,base,234,0,0.5416666666666666,0.3076923076923077,0.5625
4,winner,234,0,0.5416666666666666,0.3076923076923077,0.5625
4,fallback,234,0,0.5416666666666666,0.3076923076923077,0.5625
4,meta_30,234,0,0.5416666666666666,0.3076923076923077,0.5625
4,meta_50,234,0,0.5416666666666666,0.3076923076923077,0.5625
4,meta_70,234,0,0.5416666666666666,0.3076923076923077,0.5625
4,meta_90,234,0,0.5416666666666666,0.3076923076923077,0.5625
