group_name,group_value,row_count,directional_called,directional_correct,directional_accuracy,coverage_within_export_set,bull_precision,bear_precision,neutral_rate,mean_s23,mean_s53,mean_slope_sum,mean_slope_magnitude,mean_fan_width,mean_alignment,mean_compression_velocity,mean_flip_score,mean_ratio_8_23_to_23_53,mean_slope_gap,collapse_flag_rate,weak_bull_exhaustion_flag_rate,weak_bear_exhaustion_flag_rate
directional_error_type,bull_called_bear_truth,17,17,0,0.0,0.10119047619047619,0.0,0.0,0.0,0.6547219198906961,0.39941303245209653,1.0541349523427925,1.4050943490770698,88.60660323227742,0.9411764705882353,22.989819116134587,0.20185947902949006,-3.5198963477982277,0.45903665667602206,0.0,0.0,0.058823529411764705
directional_error_type,bear_called_bull_truth,16,16,0,0.0,0.09523809523809523,0.0,0.0,0.0,-0.48042519312264176,-0.46926703607709896,-0.9496922291997407,0.9496922291997407,64.30122358026438,1.0,9.563227037242541,0.16794156003146607,0.499510140528741,0.21468513098113817,0.0,0.0,0.0
directional_error_type,neutral_called_bull_truth,48,0,0,0.0,0.2857142857142857,0.0,0.0,1.0,-0.08177517935261373,0.07868565042110731,-0.003089528931506417,0.40027295135530494,29.26863946710758,0.0,-1.4425103891101874,0.1397708676200781,0.7669491565529216,0.4021059473735704,0.5833333333333334,0.2916666666666667,0.16666666666666666
directional_error_type,neutral_called_bear_truth,53,0,0,0.0,0.31547619047619047,0.0,0.0,1.0,0.19629854517071815,0.07215609879110488,0.268454643961823,0.5484560593091065,31.1997226376942,0.0,-2.3088713052352,0.1540072011790994,-1.650777355753747,0.31970937996235116,0.6792452830188679,0.33962264150943394,0.03773584905660377
directional_error_type,correct_bull,20,20,20,1.0,0.11904761904761904,1.0,0.0,0.0,0.6026094695254869,0.38370316343771266,0.9863126329631996,0.9863126329631996,69.14115633486873,1.0,19.189779644053488,0.13433158204281687,-0.9789596933095465,0.37051931686728495,0.0,0.0,0.0
directional_error_type,correct_bear,14,14,14,1.0,0.08333333333333333,0.0,1.0,0.0,-0.6064312301763753,-0.4283423763516631,-1.0347736065280384,1.0347736065280384,71.93464527760703,1.0,13.478303822839475,0.16242197025606894,1.1439355180776494,0.3005414408181813,0.0,0.0,0.0
directional_error_type,correct_neutral,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v2_1_diagnostic_group,v2_1_wrong_bull_to_bear,17,17,0,0.0,0.0,0.0,0.0,0.0,0.6547219198906961,0.39941303245209653,1.0541349523427925,1.4050943490770698,88.60660323227742,0.9411764705882353,22.989819116134587,0.20185947902949006,-3.5198963477982277,0.45903665667602206,0.0,0.0,0.058823529411764705
v2_1_diagnostic_group,v2_1_correct_bull,20,20,20,1.0,0.0,1.0,0.0,0.0,0.6026094695254869,0.38370316343771266,0.9863126329631996,0.9863126329631996,69.14115633486873,1.0,19.189779644053488,0.13433158204281687,-0.9789596933095465,0.37051931686728495,0.0,0.0,0.0
