window_center_index,window_center_epoch,window_type,relative_pos,row_index,epoch,truth,base,pred_bear_core_a,trigger_bear_core_a,override_help_class_bear_core_a,ruleb_raw_warning,osc_core_a,osc_core_b,osc_core_c,slow_retention,abs_hinge,transition_score_v23,phase3,fs3,fast_alt,core_count,reason
152,320920,FALSE_NEGATIVE,2,154,320922,Bull,Bear,Bear,0,NO_EFFECT,0,0,0,0,0.9821271268119744,0.0481249668050266,1,0,1,1,1,false_negative|base=Bear|truth=Bull|slow=0.9821|abs_hinge=0.0481|transition=1|phase3=0|fs3=1|fast_alt=1|core_count=1
211,320992,FALSE_NEGATIVE,-2,209,320990,Bull,Neutral,Neutral,0,NO_EFFECT,0,1,1,0,0.7323275596936583,1.0,2,3,2,0,2,false_negative|base=Neutral|truth=Bull|slow=0.7323|abs_hinge=1.0000|transition=2|phase3=3|fs3=2|fast_alt=0|core_count=2|oscA|oscB
211,320992,FALSE_NEGATIVE,-1,210,320991,Bear,Neutral,Neutral,0,NO_EFFECT,0,1,1,0,0.0473381414049072,0.8302188078900806,1,2,2,0,2,false_negative|base=Neutral|truth=Bear|slow=0.0473|abs_hinge=0.8302|transition=1|phase3=2|fs3=2|fast_alt=0|core_count=2|oscA|oscB
211,320992,FALSE_NEGATIVE,0,211,320992,Bull,Bear,Bear,0,NO_EFFECT,1,0,0,0,1.9226985563527703,0.4853152036239559,1,1,1,0,0,false_negative|base=Bear|truth=Bull|slow=1.9227|abs_hinge=0.4853|transition=1|phase3=1|fs3=1|fast_alt=0|core_count=0
211,320992,FALSE_NEGATIVE,1,212,320993,Bear,Bear,Bear,0,NO_EFFECT,0,0,0,0,0.4870581860541279,0.7355525411623458,1,0,0,0,0,false_negative|base=Bear|truth=Bear|slow=0.4871|abs_hinge=0.7356|transition=1|phase3=0|fs3=0|fast_alt=0|core_count=0
211,320992,FALSE_NEGATIVE,2,213,320993,Bear,Neutral,Neutral,0,NO_EFFECT,1,0,0,0,1.1353941480319918,0.2470703297389247,1,0,0,0,0,false_negative|base=Neutral|truth=Bear|slow=1.1354|abs_hinge=0.2471|transition=1|phase3=0|fs3=0|fast_alt=0|core_count=0
219,320997,FALSE_NEGATIVE,-2,217,320995,Bull,Bull,Bull,0,NO_EFFECT,0,0,0,0,1.015190276724752,0.2747295435739196,0,1,1,1,1,false_negative|base=Bull|truth=Bull|slow=1.0152|abs_hinge=0.2747|transition=0|phase3=1|fs3=1|fast_alt=1|core_count=1
219,320997,FALSE_NEGATIVE,-1,218,320996,Bull,Neutral,Neutral,0,NO_EFFECT,0,0,0,0,0.1541129462893877,0.3544321342369236,0,1,1,0,0,false_negative|base=Neutral|truth=Bull|slow=0.1541|abs_hinge=0.3544|transition=0|phase3=1|fs3=1|fast_alt=0|core_count=0
219,320997,FALSE_NEGATIVE,0,219,320997,Bull,Bear,Bear,0,NO_EFFECT,1,0,0,0,1.1129530002544925,0.2932370400084516,1,0,0,0,0,false_negative|base=Bear|truth=Bull|slow=1.1130|abs_hinge=0.2932|transition=1|phase3=0|fs3=0|fast_alt=0|core_count=0
219,320997,FALSE_NEGATIVE,1,220,320998,Bear,Neutral,Neutral,0,NO_EFFECT,1,0,0,0,1.8529405720510117,0.4168001713846043,1,1,1,1,1,false_negative|base=Neutral|truth=Bear|slow=1.8529|abs_hinge=0.4168|transition=1|phase3=1|fs3=1|fast_alt=1|core_count=1
