group_name,group_value,row_count,directional_called,directional_correct,directional_accuracy,coverage_within_export_set,bull_precision,bear_precision,neutral_rate,mean_s23,mean_s53,mean_slope_sum,mean_slope_magnitude,mean_fan_width,mean_alignment,mean_compression_velocity,mean_flip_score,mean_ratio_8_23_to_23_53,mean_slope_gap,mean_fan_width_velocity,mean_fan_width_acceleration,mean_fan_order_score,count_fan_order_score,mean_g83_curvature,mean_fan_energy_total,mean_fan_energy_ratio,mean_fan_energy_velocity,mean_fan_energy_acceleration,fan_sign_conflict_rate,mean_fan_energy_instability,mean_hinge_gap,mean_hinge_velocity,hinge_conflict_rate,mean_hinge_torsion,count_hinge_torsion,mean_snap_divergence,mean_snap_velocity,mean_snap_score,count_snap_score,mean_phase_alignment,count_phase_alignment,mean_phase_strength,mean_phase_velocity,mean_fan_phase_score,mean_gaussian_wave,count_gaussian_wave,mean_wave_strength,count_wave_strength,mean_slow_retention,count_slow_retention,mean_outer_fan_width,count_outer_fan_width,mean_phase_disagreement,count_phase_disagreement,mean_inertia_wall_score,count_inertia_wall_score,collapse_flag_rate,weak_bull_exhaustion_flag_rate,weak_bear_exhaustion_flag_rate
prediction,Bull,157,157,90,0.5732484076433121,0.16773504273504272,0.5732484076433121,0.0,0.0,0.4576835313355274,0.29718421264182915,0.7548677439773566,0.7548677439773566,-51.79452725022797,1.0,14.557300548759885,0.09789033964244746,-1.3291534378071086,0.25336147268335135,-46.512730738558254,-35.236099239989876,0.9796178343949045,157,52.30792559993251,2.5220096832011563,3.9321863871838274,0.6060666123658521,0.9273876158349011,0.0,0.36291690748075406,11.218633651450238,9.566513388331469,0.012738853503184714,0.2559619872496047,157,0.7729129845161056,-0.020223493246097252,0.4300319856837041,157,0.9968152866242038,157,2.5220096832011563,0.202991452991453,0.21015073008813875,0.057692307692307696,156,152.6298789221421,156,0.762348263919008,157,14.508985592278869,157,0.0,157,3.970580001724761,157,0.0,0.0,0.0
prediction,Bear,194,194,105,0.5412371134020618,0.20726495726495728,0.0,0.5412371134020618,0.0,-0.37531088311275246,-0.1831012184509314,-0.5584121015636839,1.1465435445115872,36.92780322711904,0.9948453608247423,20.953905050981234,0.15313575922910827,1.3321795643450276,0.39788662370322236,32.0341562245057,27.062103675982755,0.979381443298969,194,-22.615395626413545,3.389012915448399,3.1959879419865476,1.1193252599309136,1.3035303104788627,0.005154639175257732,0.36178442663223337,-7.719915423933737,-6.671547872658754,0.030927835051546393,0.26162477464013184,194,0.8937291799854683,-0.04885327527630317,0.4110483589226806,194,0.9939862542955327,194,3.389012915448399,0.1761168384879725,0.2784024988117136,0.29533678756476683,193,195.93076571881875,193,1.015361648272222,194,18.414793777685436,194,0.005154639175257732,194,5.050117747761319,194,0.0,0.0,0.0
prediction,Neutral,585,0,0,0.0,0.625,0.0,0.0,1.0,0.006497614791743785,0.01397664515770729,0.020474259949451075,0.4211981794256566,-1.0782087505770683,0.0,-1.2715326901866546,0.1350345499122115,-5.6008188454735715,0.329288039072686,1.8613273351666175,0.3597886847223416,0.6953846153846154,585,-6.595577802044577,1.9395615845013203,4.131254726277799,-0.533079578033146,-0.6765446262584712,0.7948717948717948,0.634146142119879,0.5084782992375211,-0.35375525414437237,0.31965811965811963,0.5661608300849421,585,1.0624925012365036,0.021662698315599416,0.8199221652087597,585,0.7017094017094017,585,1.9395615845013203,-0.11339031339031339,0.11378777365514994,0.20205479452054795,584,149.3846669008413,584,0.60174697659657,585,12.707304691836491,585,0.6256410256410256,585,3.627577293238697,585,0.5504273504273505,0.23076923076923078,0.0
prediction,Unknown,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
truth,Bull,461,179,90,0.5027932960893855,0.49252136752136755,1.0,0.0,0.6117136659436009,0.015978906645093348,0.018496209183592016,0.034475115828685364,0.6048839056251393,-5.486021820037067,0.3882863340563991,4.895531476313239,0.13033260581374911,-0.04069918497484035,0.3153217308623275,24.636794326794668,53.381050098950006,0.789587852494577,461,7.579355518620318,2.2676544224279276,3.8565617864045807,-0.09947038215478424,-0.20038041504710988,0.47071583514099785,0.5299419982626844,0.13099142105875808,-6.2980553411842095,0.19956616052060738,0.4433868766646745,461,0.9211813383026981,-0.02550458447097845,0.6679598645352316,461,0.8109182935647143,461,2.2676544224279276,-0.009761388286334056,0.1584130278186937,0.30434782608695654,460,161.56282714068743,460,0.725059195112041,461,14.701879621155573,461,0.3752711496746204,461,4.107055844768335,461,0.3579175704989154,0.13665943600867678,0.0
truth,Bear,473,172,105,0.6104651162790697,0.5053418803418803,0.0,1.0,0.6363636363636364,-0.005224424164039124,0.024510108853160736,0.01928568468912161,0.6426894120905109,1.671700512908305,0.36152219873150104,7.100775215580369,0.1332721550111634,-6.782669503081916,0.34365874146154135,-24.234642052589138,-52.317512377641094,0.813107822410148,473,-7.271702324949266,2.394473143460834,3.954311531663484,0.07944855060161328,0.17098332047481887,0.5221987315010571,0.5348545734477762,1.1661276518555574,6.229989312724174,0.21775898520084566,0.4598990610474352,473,1.0273827303999592,0.014382344243624515,0.6710330323422415,473,0.8125440451021846,473,2.394473143460834,0.00847457627118644,0.16895300510383934,0.09129511677282377,471,157.35637577527163,471,0.7010352036898576,473,13.680014423650954,473,0.4080338266384778,473,3.8510093118734927,473,0.3298097251585624,0.15010570824524314,0.0
truth,Neutral,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
truth,Unknown,2,0,0,0.0,0.002136752136752137,0.0,0.0,1.0,-1.024007792411794,-0.40370574931785086,-1.427713541729645,2.250522995850588,69.92132255958859,0.0,-4.3997726317247725,0.47563585626817895,0.12586018816369962,0.843678214195279,64.35283379061002,37.6068526592062,1.0,2,-58.704008846856595,5.046533598297174,2.947300198211982,4.100034547836913,5.973037644507713,1.0,0.5951235894813283,-25.421864173637005,-23.001232855218404,0.0,0.10585893010640415,2,2.8361421364197668,2.504712561380984,0.7923740909220032,2,0.8333333333333334,2,5.046533598297174,5.551115123125783e-17,0.31320987151956253,0.5,2,215.8954454041741,2,1.4244391085676398,2,17.97032392174151,2,0.5,2,5.178235463378394,2,0.5,0.5,0.0
regime,RUN,350,350,194,0.5542857142857143,0.37393162393162394,0.5732484076433121,0.538860103626943,0.0,-0.0016077801641378236,0.028451344476239423,0.0268435643121016,0.9718761224223947,-2.5072525582139495,1.0,18.142676628049355,0.12706611425156522,0.14060106776752046,0.3297090512124591,-2.8354936301309857,-0.1062033307673704,0.98,350,11.182508807845702,2.9909987600477637,3.532031910043281,0.8837144671042526,1.1082905993144234,0.0,0.3618514244787692,0.6816525270129205,0.4855820979700103,0.02,0.25697496650963864,350,0.8331030364411188,-0.03829227202626717,0.4181973069163565,350,0.9961904761904762,350,2.9909987600477637,0.1886341929321872,0.2473990573013063,0.1896551724137931,348,176.11772816819177,348,0.8960868226737355,350,16.541227073197035,350,0.0,350,4.532287742345199,350,0.0,0.0,0.0
regime,REVERSAL,1,1,1,1.0,0.0010683760683760685,0.0,1.0,0.0,-0.39127384674793575,1.1783144386026834,0.7870405918547476,0.7870405918547476,-90.20855684981507,0.0,0.6169462283869507,0.603980626263434,0.5553720285871645,1.5695882853506191,-51.772410745266825,-236.88671286670433,0.8,1,-96.24802743864711,6.574459842853685,1.1637550181027796,3.279142936286007,10.56868943124573,1.0,0.5151361884069817,25.083506580020185,28.627649092377396,1.0,1.0,1,3.1447367318178294,0.7316025871732563,0.8893459626168201,1,0.6666666666666666,1,6.574459842853685,0.0,0.41407933785301926,0.0,1,335.9294930554461,1,3.0384492642879195,1,60.95125523979368,1,1.0,1,16.803193515663587,1,0.0,0.0,0.0
