group,count,mean_slow,mean_abs_hinge,mean_transition,mean_phase3,mean_fs3,mean_fast_alt,mean_core_count,mean_win_prevcurr,mean_win_pm1,mean_win_relaxed
wrong_bear_ruleb_context,13,1.5782645749855315,0.30665150514313744,1.0769230769230769,0.7692307692307693,1.0,0.3076923076923077,0.7692307692307693,0.38461538461538464,0.46153846153846156,0.38461538461538464
wrong_bear_core_a_hit,3,1.4988243333088274,0.4092303605184561,1.3333333333333333,1.3333333333333333,2.0,0.6666666666666666,2.3333333333333335,1.0,1.0,1.0
wrong_bear_core_a_miss,10,1.6020966474885427,0.27587784853054187,1.0,0.6,0.7,0.2,0.3,0.2,0.3,0.2
wrong_bear_win_prevcurr_hit,5,1.6324604958921554,0.3871505811080539,1.2,1.2,1.6,0.4,1.4,1.0,1.0,1.0
wrong_bear_win_prevcurr_miss,8,1.5443921244188914,0.25633958266506474,1.0,0.5,0.625,0.25,0.375,0.0,0.125,0.0
wrong_bear_win_pm1_hit,6,1.690367542474026,0.35805797043811133,1.1666666666666667,1.3333333333333333,1.5,0.3333333333333333,1.3333333333333333,0.8333333333333334,1.0,0.8333333333333334
wrong_bear_win_pm1_miss,7,1.4821763171382503,0.26258882060458844,1.0,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0
wrong_bear_win_relaxed_hit,5,1.6324604958921554,0.3871505811080539,1.2,1.2,1.6,0.4,1.4,1.0,1.0,1.0
wrong_bear_win_relaxed_miss,8,1.5443921244188914,0.25633958266506474,1.0,0.5,0.625,0.25,0.375,0.0,0.125,0.0
