model,display_name,acc,cov,bear,trig,good,bad,capture
bear_pm1_h018,pred_winner,0.5626822157434402,0.36645299145299143,0.553763440860215,8,6,2,0.46153846153846156
bear_pm1_soft,pred_fallback,0.5623188405797102,0.3685897435897436,0.5531914893617021,6,5,1,0.38461538461538464
bear_corea,pred_corea,0.5603448275862069,0.3717948717948718,0.5497382198952879,3,3,0,0.23076923076923078
adaptive_meta,pred_adaptive_meta,0.5555555555555556,0.375,0.5412371134020618,0,0,0,0.0
pred_v22_base,v2_2 (base),0.5555555555555556,0.375,0.5412371134020618,0,0,0,0.0
