variant,flip_score_threshold,alignment_threshold,compression_velocity_min,ratio_threshold,changed_rows_count,new_directional_called,baseline_directional_called,baseline_directional_accuracy,baseline_directional_coverage,baseline_bull_precision,baseline_bear_precision,new_directional_accuracy,new_directional_coverage,new_bull_precision,new_bear_precision,delta_directional_accuracy,delta_directional_coverage,delta_bull_precision,delta_bear_precision
bull_to_neutral,0.12,1.0,,,23,171,194,0.5721649484536082,0.40082644628099173,0.6103896103896104,0.5470085470085471,0.5672514619883041,0.35330578512396693,0.6111111111111112,0.5470085470085471,-0.0049134864653040955,-0.0475206611570248,0.0007215007215007896,0.0
bull_to_bear,0.12,1.0,,,23,194,194,0.5721649484536082,0.40082644628099173,0.6103896103896104,0.5470085470085471,0.5463917525773195,0.40082644628099173,0.6111111111111112,0.5214285714285715,-0.02577319587628868,0.0,0.0007215007215007896,-0.0255799755799756
bull_to_neutral,0.12,1.0,,0.0,21,173,194,0.5721649484536082,0.40082644628099173,0.6103896103896104,0.5470085470085471,0.5664739884393064,0.3574380165289256,0.6071428571428571,0.5470085470085471,-0.005690960014301805,-0.04338842975206614,-0.0032467532467532756,0.0
bull_to_bear,0.12,1.0,,0.0,21,194,194,0.5721649484536082,0.40082644628099173,0.6103896103896104,0.5470085470085471,0.5463917525773195,0.40082644628099173,0.6071428571428571,0.5217391304347826,-0.02577319587628868,0.0,-0.0032467532467532756,-0.02526941657376447
bull_to_neutral,0.12,1.0,,-0.05,20,174,194,0.5721649484536082,0.40082644628099173,0.6103896103896104,0.5470085470085471,0.5632183908045977,0.359504132231405,0.5964912280701754,0.5470085470085471,-0.008946557649010534,-0.04132231404958675,-0.013898382319434965,0.0
bull_to_bear,0.12,1.0,,-0.05,20,194,194,0.5721649484536082,0.40082644628099173,0.6103896103896104,0.5470085470085471,0.5412371134020618,0.40082644628099173,0.5964912280701754,0.5182481751824818,-0.030927835051546393,0.0,-0.013898382319434965,-0.02876037182606528
bull_to_neutral,0.12,1.0,,-0.1,19,175,194,0.5721649484536082,0.40082644628099173,0.6103896103896104,0.5470085470085471,0.5657142857142857,0.3615702479338843,0.603448275862069,0.5470085470085471,-0.006450662739322488,-0.03925619834710742,-0.006941334527541421,0.0
bull_to_bear,0.12,1.0,,-0.1,19,194,194,0.5721649484536082,0.40082644628099173,0.6103896103896104,0.5470085470085471,0.5463917525773195,0.40082644628099173,0.603448275862069,0.5220588235294118,-0.02577319587628868,0.0,-0.006941334527541421,-0.024949723479135266
bull_to_neutral,0.12,1.0,0.0,,15,179,194,0.5721649484536082,0.40082644628099173,0.6103896103896104,0.5470085470085471,0.5698324022346368,0.36983471074380164,0.6129032258064516,0.5470085470085471,-0.0023325462189713875,-0.03099173553719009,0.0025136154168412528,0.0
bull_to_bear,0.12,1.0,0.0,,15,194,194,0.5721649484536082,0.40082644628099173,0.6103896103896104,0.5470085470085471,0.5567010309278351,0.40082644628099173,0.6129032258064516,0.5303030303030303,-0.015463917525773141,0.0,0.0025136154168412528,-0.016705516705516787
