group,rows,wrong_bear,right_bear,mean_slow,mean_abs_hinge,mean_phase3,mean_fs3
winner_only,2,1,1,1.1695015658906414,0.18296123935097708,1.5,1.5
fallback_only,0,0,0,0.0,0.0,0.0,0.0
winner_and_fallback,6,5,1,1.8605454432339077,0.39001644449607986,1.1666666666666667,1.3333333333333333
adaptive_only,0,0,0,0.0,0.0,0.0,0.0
adaptive_and_winner,8,6,2,1.6877844738980912,0.3382526432098042,1.25,1.375
adaptive_and_fallback,6,5,1,1.8605454432339077,0.39001644449607986,1.1666666666666667,1.3333333333333333
adaptive_any,8,6,2,1.6877844738980912,0.3382526432098042,1.25,1.375
