group_name,group_value,row_count,directional_called,directional_correct,directional_accuracy,coverage_within_export_set,bull_precision,bear_precision,neutral_rate,mean_s23,mean_s53,mean_slope_sum,mean_slope_magnitude,mean_fan_width,mean_alignment,mean_compression_velocity,mean_flip_score,mean_ratio_8_23_to_23_53,mean_slope_gap,mean_fan_width_velocity,mean_fan_width_acceleration,mean_fan_order_score,count_fan_order_score,mean_g83_curvature,mean_fan_energy_total,mean_fan_energy_ratio,mean_fan_energy_velocity,mean_fan_energy_acceleration,fan_sign_conflict_rate,mean_fan_energy_instability,mean_hinge_gap,mean_hinge_velocity,hinge_conflict_rate,mean_hinge_torsion,count_hinge_torsion,mean_snap_divergence,mean_snap_velocity,mean_snap_score,count_snap_score,mean_phase_alignment,count_phase_alignment,mean_phase_strength,mean_phase_velocity,mean_fan_phase_score,mean_gaussian_wave,count_gaussian_wave,mean_wave_strength,count_wave_strength,mean_slow_retention,count_slow_retention,mean_outer_fan_width,count_outer_fan_width,mean_phase_disagreement,count_phase_disagreement,mean_inertia_wall_score,count_inertia_wall_score,collapse_flag_rate,weak_bull_exhaustion_flag_rate,weak_bear_exhaustion_flag_rate
prediction,Bull,61,61,35,0.5737704918032787,0.15326633165829145,0.5737704918032787,0.0,0.0,0.49460806168486876,0.2959086760535579,0.7905167377384267,0.7905167377384267,-52.71899293961703,1.0,16.2545939130116,0.10161384825378796,-1.4946290187778977,0.3033691292394742,-49.347641339974025,-35.28041841619633,0.9737704918032787,61,50.93206067238619,2.6511698787664617,3.9881436583434775,0.8007209908755613,1.1696254047071004,0.0,0.35301312254296147,12.099810818050651,11.04619140881235,0.03278688524590164,0.28563271720792577,61,0.875235770889645,0.01625165739960721,0.44659980482568185,61,0.994535519125683,61,2.6511698787664617,0.19722222222222222,0.25037443446379015,0.016666666666666666,60,155.19219173200716,60,0.7331332722657609,61,13.45374639102923,61,0.0,61,3.6995348142448004,61,0.0,0.0,0.0
prediction,Bear,95,95,53,0.5578947368421052,0.23869346733668342,0.0,0.5578947368421052,0.0,-0.46527914579796503,-0.21375486362673032,-0.6790340094246954,1.0782474097706942,43.64170170827848,0.9894736842105263,21.618103343259854,0.14329927641680443,1.4250047119436118,0.39735015298398424,34.96378978129911,20.922363904480974,0.9726315789473684,95,-28.66030970166615,3.3437370393956947,3.3769204244188624,1.0996462736605617,1.197031670073131,0.010526315789473684,0.36297550092537806,-9.684826659394188,-7.9774077512444865,0.042105263157894736,0.2825179474886907,95,0.9391940370781078,0.02780328119180539,0.42666639268998724,95,0.9912280701754386,95,3.3437370393956947,0.16666666666666666,0.3054080751179286,0.2978723404255319,94,191.89956612845614,94,0.9610034764640946,95,17.50731586954391,95,0.010526315789473684,95,4.805713313252814,95,0.0,0.0,0.0
prediction,Neutral,242,0,0,0.0,0.6080402010050251,0.0,0.0,1.0,0.024843081981284626,0.017584026009170292,0.04242710799045492,0.44914422872200754,-2.9614319190756255,0.0,-1.1041167911288472,0.13220785268364119,-12.984440033948344,0.32220434935606296,-0.8303033711028758,1.182054134542416,0.6917355371900826,242,-1.124161171702108,1.8643203597825697,4.208662588431795,-0.6188269225446397,-0.7483739063976196,0.7603305785123967,0.6246496408841145,0.5056261164531297,0.20346770348182008,0.26859504132231404,0.5330964793122994,242,0.9693835274051144,-0.01613938984232958,0.8045369510160575,242,0.7155647382920111,242,1.8643203597825697,-0.11432506887052342,0.12664013128960966,0.22406639004149378,241,158.42062482864188,241,0.5964612156151793,242,12.442854247299783,242,0.5578512396694215,242,3.5408327679017466,242,0.5867768595041323,0.256198347107438,0.0
prediction,Unknown,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
truth,Bull,195,77,35,0.45454545454545453,0.4899497487437186,1.0,0.0,0.6051282051282051,0.007359044754561276,0.0058564992871815305,0.013215544041742806,0.6054179102398894,-3.9131236983308693,0.39487179487179486,5.7390840469558055,0.1254025418921152,0.1434113241998893,0.30316768068547295,29.397944493001575,63.326291662909405,0.8,195,9.904793032804236,2.282075204152501,3.7553513979868427,-0.0866945521468901,-0.12334824403912825,0.4512820512820513,0.5163941717953148,-0.2968736969466614,-7.828196713129635,0.2205128205128205,0.4519149251913432,195,0.9424822705896729,-0.028162641733331092,0.6778210901700765,195,0.823076923076923,195,2.282075204152501,-1.708035422500241e-18,0.18090970400751724,0.31443298969072164,194,165.11156371364444,194,0.7131895454465008,195,14.187922368149007,195,0.3435897435897436,195,3.9687615977125024,195,0.3641025641025641,0.13846153846153847,0.0
truth,Bear,202,79,53,0.6708860759493671,0.507537688442211,0.0,1.0,0.6089108910891089,-0.03407082464486893,0.009723575584613703,-0.024347249060255226,0.681253461616966,3.949207407404858,0.38613861386138615,8.215927091625256,0.13189070202245945,-15.47735541942054,0.3645819602489961,-28.65184753253384,-61.537658038877304,0.802970297029703,202,-8.628906102556664,2.3682599052378492,4.198341937394456,0.06840462246982859,0.09284130857392045,0.4752475247524752,0.5259172955056026,0.32771455440193353,7.708286209701328,0.13861386138613863,0.42073558603004685,202,0.9388169414687941,0.009431798565105173,0.6412489080756647,202,0.8250825082508251,202,2.3682599052378492,-0.0008291873963515742,0.19412101482621696,0.105,200,166.37046455598326,200,0.6884621484262128,202,13.366226532487508,202,0.3415841584158416,202,3.748368662080037,202,0.35148514851485146,0.17326732673267325,0.0
truth,Neutral,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
truth,Unknown,1,0,0,0.0,0.002512562814070352,0.0,0.0,1.0,-2.5711083974347275,-1.1071281401455053,-3.678236537580233,3.678236537580233,178.755793432254,0.0,-0.6848788144707214,0.7107588750193825,0.42917577766294596,1.4639802572892222,186.19031092207297,219.7028858186095,1.0,1,-97.31219691548904,7.1487427469437534,2.2219559181240145,5.909648746692255,6.860472241309253,1.0,0.5758518086017452,-67.91652164429252,-68.7102366865729,0.0,0.16014996430416722,1,3.7785642370436108,3.306602441767609,0.7664455313521187,1,0.8333333333333334,1,7.1487427469437534,0.16666666666666674,0.4436821342182624,1.0,1,223.7250320543244,1,2.2187587070111476,1,28.42164395446889,1,0.0,1,8.016936966067307,1,0.0,0.0,0.0
regime,RUN,155,155,87,0.5612903225806452,0.38944723618090454,0.5737704918032787,0.5531914893617021,0.0,-0.0879945370405274,-0.02215869189596795,-0.11015322893649535,0.9668902215380982,6.58265580528795,1.0,19.6427941940323,0.12392190565686485,0.2815980997458335,0.3528012460111988,2.6784023348716968,0.5670837576218023,0.9741935483870968,155,2.9941343517986954,3.050334977448332,3.631744828778331,0.9690293020389676,1.1250314499219254,0.0,0.3580741715761846,-1.3358295440088934,-0.8033110450120952,0.03225806451612903,0.2791148436200586,155,0.8997940568701339,0.018732523181978496,0.4315261254019262,155,0.9946236559139785,155,3.050334977448332,0.17965367965367965,0.2830485696815574,0.1895424836601307,153,176.56314527411675,153,0.8579226490839515,155,15.631756659481683,155,0.0,155,4.29297545104701,155,0.0,0.0,0.0
regime,REVERSAL,1,1,1,1.0,0.002512562814070352,0.0,1.0,0.0,-0.39127384674793575,1.1783144386026834,0.7870405918547476,0.7870405918547476,-90.20855684981507,0.0,0.6169462283869507,0.603980626263434,0.5553720285871645,1.5695882853506191,-51.772410745266825,-236.88671286670433,0.8,1,-96.24802743864711,6.574459842853685,1.1637550181027796,3.279142936286007,10.56868943124573,1.0,0.5151361884069817,25.083506580020185,28.627649092377396,1.0,1.0,1,3.1447367318178294,0.7316025871732563,0.8893459626168201,1,0.6666666666666666,1,6.574459842853685,0.0,0.41407933785301926,0.0,1,335.9294930554461,1,3.0384492642879195,1,60.95125523979368,1,1.0,1,16.803193515663587,1,0.0,0.0,0.0
regime,NOISE,242,0,0,0.0,0.6080402010050251,0.0,0.0,1.0,0.024843081981284626,0.017584026009170292,0.04242710799045492,0.44914422872200754,-2.9614319190756255,0.0,-1.1041167911288472,0.13220785268364119,-12.984440033948344,0.32220434935606296,-0.8303033711028758,1.182054134542416,0.6917355371900826,242,-1.124161171702108,1.8643203597825697,4.208662588431795,-0.6188269225446397,-0.7483739063976196,0.7603305785123967,0.6246496408841145,0.5056261164531297,0.20346770348182008,0.26859504132231404,0.5330964793122994,242,0.9693835274051144,-0.01613938984232958,0.8045369510160575,242,0.7155647382920111,242,1.8643203597825697,-0.11432506887052342,0.12664013128960966,0.22406639004149378,241,158.42062482864188,241,0.5964612156151793,242,12.442854247299783,242,0.5578512396694215,242,3.5408327679017466,242,0.5867768595041323,0.256198347107438,0.0
regime,UNKNOWN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
directional_error_type,bull_called_bear_truth,26,26,0,0.0,0.06532663316582915,0.0,0.0,0.0,0.4973873912121445,0.322994887524426,0.8203822787365704,0.8203822787365704,-52.05054709164464,1.0,15.37077672320895,0.11388658845370539,-0.8520875819876493,0.33481973123084924,-75.09913319117099,-86.46614126587694,0.9769230769230769,26,34.47356864875182,2.458416756001218,4.243675856864693,0.7619325725734234,1.1049074765874685,0.0,0.33964609723912537,13.188942785129116,18.99741019640176,0.0,0.27986394991746005,26,0.749269009147051,-0.005637974422279512,0.43209438845623815,26,1.0,26,2.458416756001218,0.14666666666666667,0.24872606902667538,0.0,25,171.84091856033658,25,0.7223141253930757,26,12.306323558048462,26,0.0,26,3.407486132156965,26,0.0,0.0,0.0
directional_error_type,bear_called_bull_truth,42,42,0,0.0,0.10552763819095477,0.0,0.0,0.0,-0.4472278016181961,-0.2729793922442349,-0.7202071938624309,0.9793935564236692,45.037055153820326,1.0,16.483473202193895,0.13237768421396695,0.9152031056122167,0.25571547805906275,77.13777761722304,101.92404749462624,0.9761904761904762,42,-33.66758759549489,3.0334523356984953,2.9871740721160416,1.0915832785246191,1.3308002454473242,0.0,0.34589082519206305,-11.107303930834902,-18.887946408887814,0.047619047619047616,0.22473215118873313,42,0.7742280401095004,-0.07332569476472729,0.41486064154010205,42,0.9920634920634921,42,3.0334523356984953,0.15873015873015872,0.27858848141966436,0.36585365853658536,41,196.67539305146926,41,0.9476977608260096,42,17.138698341019683,42,0.0,42,4.697463512263634,42,0.0,0.0,0.0
directional_error_type,neutral_called_bull_truth,118,0,0,0.0,0.2964824120603015,0.0,0.0,1.0,0.02525052376137664,0.025038895522256854,0.050289419283633494,0.4239862828143317,-6.712466887297416,0.0,-1.398936603610479,0.13267999566348412,0.49614212539862873,0.32692748969136226,30.30671751551785,68.3185271919458,0.6864406779661018,118,9.388275556397769,1.8626876250989695,4.01602559913636,-0.7775159364819971,-1.025823786226021,0.7457627118644068,0.6212653438459061,0.11390209070113842,-7.805430843268538,0.3305084745762712,0.5808265000894545,118,0.9945599770673067,-0.02989902341029184,0.8368036579997986,118,0.713276836158192,118,1.8626876250989695,-0.12570621468926554,0.12517553690035862,0.3813559322033898,118,160.61392970698955,118,0.6214211276218967,118,13.102588255277176,118,0.5677966101694916,118,3.724898811915369,118,0.6016949152542372,0.2288135593220339,0.0
directional_error_type,neutral_called_bear_truth,123,0,0,0.0,0.30904522613065327,0.0,0.0,1.0,0.04555749945579808,0.01957620132307648,0.06513370077887456,0.4470267109028817,-0.8402538629874825,0.0,-0.824689962704665,0.12705123565959886,-26.026084835692686,0.3083904756365631,-32.222084500488414,-65.00188612934106,0.6943089430894309,123,-10.427246522693967,1.8229239395021113,4.409620892555122,-0.5196657194928406,-0.5440630147549814,0.7723577235772358,0.6282930952157483,1.4377040253919966,8.4470752880883,0.21138211382113822,0.4903387887700543,123,0.9223916430979828,-0.029953252204853096,0.7738915851264843,123,0.7168021680216802,123,1.8229239395021113,-0.1056910569105691,0.1254676120619915,0.06557377049180328,122,155.76394955920983,122,0.5593265236786864,123,11.680029835523346,123,0.5528455284552846,123,3.3278579923588762,123,0.5772357723577236,0.2845528455284553,0.0
directional_error_type,correct_bull,35,35,35,1.0,0.08793969849246232,1.0,0.0,0.0,0.49254341689317827,0.27578749038948447,0.7683309072826627,0.7683309072826627,-53.215552712396516,1.0,16.911143825436426,0.0924969555338493,-1.971945514679225,0.28000582490302417,-30.95371858911905,1.2808121907183834,0.9714285714285714,35,62.688126403553596,2.7943579128206433,3.7983197394420034,0.8284270039485169,1.2158524962211232,0.0,0.36256099775998724,11.290741356792362,5.366749417677056,0.05714285714285714,0.28991808719512885,35,0.9688110796127148,0.03188710870095487,0.45737525698584,35,0.9904761904761905,35,2.7943579128206433,0.23333333333333334,0.2515989345027897,0.02857142857142857,35,143.30024399748612,35,0.7411703527997555,35,14.30611763838637,35,0.0,35,3.916485263795764,35,0.0,0.0,0.0
