group_name,group_value,row_count,directional_called,directional_correct,directional_accuracy,coverage_within_export_set,bull_precision,bear_precision,neutral_rate,mean_s23,mean_s53,mean_slope_sum,mean_fan_width,mean_alignment,mean_compression_velocity,mean_flip_score,mean_ratio_8_23_to_23_53,mean_slope_gap,collapse_flag_rate,weak_bull_exhaustion_flag_rate,weak_bear_exhaustion_flag_rate
regime,RUN,56,56,30,0.5357142857142857,0.37583892617449666,0.6,0.46153846153846156,0.0,0.13014582732716917,0.036389363348559654,0.16653519067572883,71.61303089033989,1.0,17.119637667258367,0.15507805626699572,-0.9084582671860789,0.33093389151742614,0.0,0.0,0.0
regime,REVERSAL,1,1,0,0.0,0.006711409395973154,0.0,0.0,0.0,-1.7849475454913772,-1.19820732674998,-2.9831548722413572,179.32730947858363,0.0,17.08135042761569,0.5491258430950221,0.40831350465264166,0.5867402187413973,0.0,0.0,1.0
regime,NOISE,92,0,0,0.0,0.6174496644295302,0.0,0.0,1.0,0.06099830678931539,0.07999629124865153,0.14099459803796693,30.626647021847496,0.0,-2.1420455503221487,0.1487757797835563,-0.765570499490443,0.3597777752896471,0.6521739130434783,0.31521739130434784,0.08695652173913043
regime,UNKNOWN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
