signal,row_count,reversal_rate,continuation_rate,directional_call_rate,directional_accuracy_within_signal
hinge_torsion_spike,231,0.5757575757575758,0.42424242424242425,0.05194805194805195,0.6666666666666666
phase_disagreement,367,0.6321525885558583,0.3678474114441417,0.0027247956403269754,1.0
fan_polarity_inversion,208,0.39903846153846156,0.6009615384615384,0.7163461538461539,0.5503355704697986
fan_velocity_oscillation,367,0.553133514986376,0.44686648501362397,0.35967302452316074,0.5606060606060606
fan_collapse_v2,27,0.6666666666666666,0.3333333333333333,0.0,0.0
fan_collapse_v2_strict,16,0.6875,0.3125,0.0,0.0
compression_trap,85,0.6235294117647059,0.3764705882352941,0.6470588235294118,0.43636363636363634
compression_trap_strict,72,0.6944444444444444,0.3055555555555556,0.6388888888888888,0.41304347826086957
fan_energy_release_signal,117,0.5042735042735043,0.49572649572649574,0.5128205128205128,0.5
price_diff_vol_squeeze,129,0.5193798449612403,0.4806201550387597,0.46511627906976744,0.45
