model,rows,directional_called,neutral_called,directional_accuracy,directional_coverage,neutral_rate,bull_precision,bear_precision
v2_2 (base),484,194,290,0.5721649484536082,0.40082644628099173,0.5991735537190083,0.6103896103896104,0.5470085470085471
Proto v2.3 (original replay),484,193,291,0.5699481865284974,0.3987603305785124,0.6012396694214877,0.6103896103896104,0.5431034482758621
Lean Proto v2.3 (replay),484,193,291,0.5699481865284974,0.3987603305785124,0.6012396694214877,0.6103896103896104,0.5431034482758621
Swept Proto v2.3,484,193,291,0.5699481865284974,0.3987603305785124,0.6012396694214877,0.6103896103896104,0.5431034482758621
Hybrid Overlay Proto v2.3,484,193,291,0.5699481865284974,0.3987603305785124,0.6012396694214877,0.6103896103896104,0.5431034482758621
