variant,flip_score_threshold,alignment_threshold,compression_velocity_min,ratio_threshold,changed_rows_count,new_directional_called,baseline_directional_called,baseline_directional_accuracy,baseline_directional_coverage,baseline_bull_precision,baseline_bear_precision,new_directional_accuracy,new_directional_coverage,new_bull_precision,new_bear_precision,delta_directional_accuracy,delta_directional_coverage,delta_bull_precision,delta_bear_precision
bull_to_neutral,0.12,1.0,,,19,137,156,0.5641025641025641,0.39195979899497485,0.5714285714285714,0.5591397849462365,0.5620437956204379,0.3442211055276382,0.5681818181818182,0.5591397849462365,-0.002058768482126161,-0.04773869346733667,-0.0032467532467531646,0.0
bull_to_bear,0.12,1.0,,,19,156,156,0.5641025641025641,0.39195979899497485,0.5714285714285714,0.5591397849462365,0.5448717948717948,0.39195979899497485,0.5681818181818182,0.5357142857142857,-0.019230769230769273,0.0,-0.0032467532467531646,-0.023425499231950808
bull_to_neutral,0.12,1.0,,0.0,18,138,156,0.5641025641025641,0.39195979899497485,0.5714285714285714,0.5591397849462365,0.5579710144927537,0.34673366834170855,0.5555555555555556,0.5591397849462365,-0.006131549609810438,-0.045226130653266305,-0.015873015873015817,0.0
bull_to_bear,0.12,1.0,,0.0,18,156,156,0.5641025641025641,0.39195979899497485,0.5714285714285714,0.5591397849462365,0.5384615384615384,0.39195979899497485,0.5555555555555556,0.5315315315315315,-0.02564102564102566,0.0,-0.015873015873015817,-0.027608253414704964
bull_to_neutral,0.12,1.0,,-0.05,17,139,156,0.5641025641025641,0.39195979899497485,0.5714285714285714,0.5591397849462365,0.5539568345323741,0.3492462311557789,0.5434782608695652,0.5591397849462365,-0.010145729570189999,-0.04271356783919594,-0.02795031055900621,0.0
bull_to_bear,0.12,1.0,,-0.05,17,156,156,0.5641025641025641,0.39195979899497485,0.5714285714285714,0.5591397849462365,0.532051282051282,0.39195979899497485,0.5434782608695652,0.5272727272727272,-0.03205128205128205,0.0,-0.02795031055900621,-0.03186705767350928
bull_to_neutral,0.12,1.0,,-0.1,16,140,156,0.5641025641025641,0.39195979899497485,0.5714285714285714,0.5591397849462365,0.5571428571428572,0.35175879396984927,0.5531914893617021,0.5591397849462365,-0.006959706959706935,-0.04020100502512558,-0.018237082066869248,0.0
bull_to_bear,0.12,1.0,,-0.1,16,156,156,0.5641025641025641,0.39195979899497485,0.5714285714285714,0.5591397849462365,0.5384615384615384,0.39195979899497485,0.5531914893617021,0.5321100917431193,-0.02564102564102566,0.0,-0.018237082066869248,-0.02702969320311721
bull_to_neutral,0.12,1.0,0.0,,13,143,156,0.5641025641025641,0.39195979899497485,0.5714285714285714,0.5591397849462365,0.5594405594405595,0.3592964824120603,0.56,0.5591397849462365,-0.004662004662004615,-0.03266331658291455,-0.011428571428571344,0.0
bull_to_bear,0.12,1.0,0.0,,13,156,156,0.5641025641025641,0.39195979899497485,0.5714285714285714,0.5591397849462365,0.5448717948717948,0.39195979899497485,0.56,0.5377358490566038,-0.019230769230769273,0.0,-0.011428571428571344,-0.02140393588963274
bull_to_neutral,0.12,1.0,0.0,0.0,13,143,156,0.5641025641025641,0.39195979899497485,0.5714285714285714,0.5591397849462365,0.5594405594405595,0.3592964824120603,0.56,0.5591397849462365,-0.004662004662004615,-0.03266331658291455,-0.011428571428571344,0.0
bull_to_bear,0.12,1.0,0.0,0.0,13,156,156,0.5641025641025641,0.39195979899497485,0.5714285714285714,0.5591397849462365,0.5448717948717948,0.39195979899497485,0.56,0.5377358490566038,-0.019230769230769273,0.0,-0.011428571428571344,-0.02140393588963274
bull_to_neutral,0.12,1.0,0.0,-0.05,13,143,156,0.5641025641025641,0.39195979899497485,0.5714285714285714,0.5591397849462365,0.5594405594405595,0.3592964824120603,0.56,0.5591397849462365,-0.004662004662004615,-0.03266331658291455,-0.011428571428571344,0.0
bull_to_bear,0.12,1.0,0.0,-0.05,13,156,156,0.5641025641025641,0.39195979899497485,0.5714285714285714,0.5591397849462365,0.5448717948717948,0.39195979899497485,0.56,0.5377358490566038,-0.019230769230769273,0.0,-0.011428571428571344,-0.02140393588963274
bull_to_neutral,0.12,1.0,0.0,-0.1,13,143,156,0.5641025641025641,0.39195979899497485,0.5714285714285714,0.5591397849462365,0.5594405594405595,0.3592964824120603,0.56,0.5591397849462365,-0.004662004662004615,-0.03266331658291455,-0.011428571428571344,0.0
bull_to_bear,0.12,1.0,0.0,-0.1,13,156,156,0.5641025641025641,0.39195979899497485,0.5714285714285714,0.5591397849462365,0.5448717948717948,0.39195979899497485,0.56,0.5377358490566038,-0.019230769230769273,0.0,-0.011428571428571344,-0.02140393588963274
bull_to_neutral,0.12,1.0,5.0,,12,144,156,0.5641025641025641,0.39195979899497485,0.5714285714285714,0.5591397849462365,0.5625,0.36180904522613067,0.5686274509803921,0.5591397849462365,-0.0016025641025640969,-0.030150753768844185,-0.0028011204481792618,0.0
bull_to_bear,0.12,1.0,5.0,,12,156,156,0.5641025641025641,0.39195979899497485,0.5714285714285714,0.5591397849462365,0.5512820512820513,0.39195979899497485,0.5686274509803921,0.5428571428571428,-0.012820512820512775,0.0,-0.0028011204481792618,-0.01628264208909369
bull_to_neutral,0.12,1.0,5.0,0.0,12,144,156,0.5641025641025641,0.39195979899497485,0.5714285714285714,0.5591397849462365,0.5625,0.36180904522613067,0.5686274509803921,0.5591397849462365,-0.0016025641025640969,-0.030150753768844185,-0.0028011204481792618,0.0
bull_to_bear,0.12,1.0,5.0,0.0,12,156,156,0.5641025641025641,0.39195979899497485,0.5714285714285714,0.5591397849462365,0.5512820512820513,0.39195979899497485,0.5686274509803921,0.5428571428571428,-0.012820512820512775,0.0,-0.0028011204481792618,-0.01628264208909369
bull_to_neutral,0.12,1.0,5.0,-0.05,12,144,156,0.5641025641025641,0.39195979899497485,0.5714285714285714,0.5591397849462365,0.5625,0.36180904522613067,0.5686274509803921,0.5591397849462365,-0.0016025641025640969,-0.030150753768844185,-0.0028011204481792618,0.0
bull_to_bear,0.12,1.0,5.0,-0.05,12,156,156,0.5641025641025641,0.39195979899497485,0.5714285714285714,0.5591397849462365,0.5512820512820513,0.39195979899497485,0.5686274509803921,0.5428571428571428,-0.012820512820512775,0.0,-0.0028011204481792618,-0.01628264208909369
bull_to_neutral,0.12,1.0,5.0,-0.1,12,144,156,0.5641025641025641,0.39195979899497485,0.5714285714285714,0.5591397849462365,0.5625,0.36180904522613067,0.5686274509803921,0.5591397849462365,-0.0016025641025640969,-0.030150753768844185,-0.0028011204481792618,0.0
bull_to_bear,0.12,1.0,5.0,-0.1,12,156,156,0.5641025641025641,0.39195979899497485,0.5714285714285714,0.5591397849462365,0.5512820512820513,0.39195979899497485,0.5686274509803921,0.5428571428571428,-0.012820512820512775,0.0,-0.0028011204481792618,-0.01628264208909369
bull_to_neutral,0.12,1.0,10.0,,11,145,156,0.5641025641025641,0.39195979899497485,0.5714285714285714,0.5591397849462365,0.5655172413793104,0.36432160804020103,0.5769230769230769,0.5591397849462365,0.0014146772767462679,-0.027638190954773822,0.005494505494505475,0.0
bull_to_bear,0.12,1.0,10.0,,11,156,156,0.5641025641025641,0.39195979899497485,0.5714285714285714,0.5591397849462365,0.5576923076923077,0.39195979899497485,0.5769230769230769,0.5480769230769231,-0.0064102564102563875,0.0,0.005494505494505475,-0.011062861869313378
bull_to_neutral,0.12,1.0,10.0,0.0,11,145,156,0.5641025641025641,0.39195979899497485,0.5714285714285714,0.5591397849462365,0.5655172413793104,0.36432160804020103,0.5769230769230769,0.5591397849462365,0.0014146772767462679,-0.027638190954773822,0.005494505494505475,0.0
bull_to_bear,0.12,1.0,10.0,0.0,11,156,156,0.5641025641025641,0.39195979899497485,0.5714285714285714,0.5591397849462365,0.5576923076923077,0.39195979899497485,0.5769230769230769,0.5480769230769231,-0.0064102564102563875,0.0,0.005494505494505475,-0.011062861869313378
bull_to_neutral,0.12,1.0,10.0,-0.05,11,145,156,0.5641025641025641,0.39195979899497485,0.5714285714285714,0.5591397849462365,0.5655172413793104,0.36432160804020103,0.5769230769230769,0.5591397849462365,0.0014146772767462679,-0.027638190954773822,0.005494505494505475,0.0
