model,rows,directional_called,neutral_called,directional_accuracy,directional_coverage,neutral_rate,bull_precision,bear_precision,bull_recall,bear_recall,tp_bull,fp_bull,tp_bear,fp_bear
v2_2 (base),936,351,585,0.5555555555555556,0.375,0.625,0.5732484076433121,0.5412371134020618,0.19522776572668113,0.2219873150105708,90,67,105,89
RuleB raw,936,323,613,0.5603715170278638,0.3450854700854701,0.6549145299145299,0.5769230769230769,0.5449101796407185,0.19522776572668113,0.19238900634249473,90,66,91,76
RuleB + Osc Core A (2 of 3),936,348,588,0.5603448275862069,0.3717948717948718,0.6282051282051282,0.5732484076433121,0.5497382198952879,0.19522776572668113,0.2219873150105708,90,67,105,86
RuleB + Osc Core B (phase & fs),936,349,587,0.5587392550143266,0.37286324786324787,0.6271367521367521,0.5732484076433121,0.546875,0.19522776572668113,0.2219873150105708,90,67,105,87
RuleB + Osc Core C (fast_alt + disagreement),936,349,587,0.5587392550143266,0.37286324786324787,0.6271367521367521,0.5732484076433121,0.546875,0.19522776572668113,0.2219873150105708,90,67,105,87
RuleB + Osc Core A (Bear-only),936,348,588,0.5603448275862069,0.3717948717948718,0.6282051282051282,0.5732484076433121,0.5497382198952879,0.19522776572668113,0.2219873150105708,90,67,105,86
RuleB + Osc Core A (Bull-only),936,351,585,0.5555555555555556,0.375,0.625,0.5732484076433121,0.5412371134020618,0.19522776572668113,0.2219873150105708,90,67,105,89
