group,rows,wrong_bear_rows,right_bear_rows,mean_slow,mean_abs_hinge,mean_phase3,mean_fs3,mean_fast_alt
both,6,5,1,1.8605454432339077,0.39001644449607986,1.1666666666666667,1.3333333333333333,0.3333333333333333
hinge_only,2,1,1,1.1695015658906414,0.18296123935097708,1.5,1.5,0.0
soft_only,0,0,0,0.0,0.0,0.0,0.0,0.0
either,8,6,2,1.6877844738980912,0.3382526432098042,1.25,1.375,0.25
