outer_fan_width_bin,rows,bull_count,bear_count,neutral_count,directional_accuracy,reversal_rate,continuation_rate
0_to_6,119,20,20,79,0.525,0.5714285714285714,0.42857142857142855
6_to_15,151,21,36,94,0.5789473684210527,0.46357615894039733,0.5364238410596026
15_to_25,80,13,21,46,0.6470588235294118,0.5,0.5
25_plus,48,7,18,23,0.48,0.4375,0.5625
