model,label,rows,directional_called,neutral_called,directional_accuracy,directional_coverage,neutral_rate,bull_precision,bear_precision,bull_recall,bear_recall,triggers,good,bad,capture
bear_pm1_h018,Winner: Bear-only RuleB + Window +/-1 + |hinge|>=0.18,936,342,594,0.5614035087719298,0.36538461538461536,0.6346153846153846,0.5732484076433121,0.5513513513513514,0.19522776572668113,0.2156448202959831,9,6,3,0.46153846153846156
bear_corea,Safe reference: Bear-only RuleB + Core A,936,348,588,0.5603448275862069,0.3717948717948718,0.6282051282051282,0.5732484076433121,0.5497382198952879,0.19522776572668113,0.2219873150105708,3,3,0,0.23076923076923078
bear_pm1_soft,Fallback: Bear-only RuleB + Center Soft,936,345,591,0.5594202898550724,0.3685897435897436,0.6314102564102564,0.5732484076433121,0.5478723404255319,0.19522776572668113,0.21775898520084566,6,4,2,0.3076923076923077
pred_v22_base,v2_2 (base),936,351,585,0.5555555555555556,0.375,0.625,0.5732484076433121,0.5412371134020618,0.19522776572668113,0.2219873150105708,0,0,0,0.0
adaptive_meta_30,Adaptive v277 (30-epoch lookback),936,351,585,0.5555555555555556,0.375,0.625,0.5732484076433121,0.5412371134020618,0.19522776572668113,0.2219873150105708,0,0,0,0.0
adaptive_meta_50,Adaptive v277 (50-epoch lookback),936,351,585,0.5555555555555556,0.375,0.625,0.5732484076433121,0.5412371134020618,0.19522776572668113,0.2219873150105708,0,0,0,0.0
adaptive_meta_70,Adaptive v277 (70-epoch lookback),936,351,585,0.5555555555555556,0.375,0.625,0.5732484076433121,0.5412371134020618,0.19522776572668113,0.2219873150105708,0,0,0,0.0
adaptive_meta_90,Adaptive v277 (90-epoch lookback),936,351,585,0.5555555555555556,0.375,0.625,0.5732484076433121,0.5412371134020618,0.19522776572668113,0.2219873150105708,0,0,0,0.0
