group,count,mean_slow,mean_abs_hinge,mean_transition,mean_phase3,mean_fs3,mean_fast_alt,mean_core_count,mean_center_any,mean_center_pf,mean_center_strong,mean_pm1_neighbor_only
win_pm1_good,6,1.690367542474026,0.35805797043811133,1.1666666666666667,1.3333333333333333,1.5,0.3333333333333333,1.3333333333333333,1.0,1.0,0.6666666666666666,0.0
win_pm1_bad,3,2.0439012352968953,0.2394941863937836,1.0,1.0,1.3333333333333333,0.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.0
win_pm1_all,9,1.808212106748316,0.3185367090900021,1.1111111111111112,1.2222222222222223,1.4444444444444444,0.2222222222222222,1.0,1.0,1.0,0.5555555555555556,0.0
win_pm1_neighbor_only,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
win_pm1_centered,9,1.808212106748316,0.3185367090900021,1.1111111111111112,1.2222222222222223,1.4444444444444444,0.2222222222222222,1.0,1.0,1.0,0.5555555555555556,0.0
wrong_bear_ruleb_context,13,1.5782645749855315,0.30665150514313744,1.0769230769230769,0.7692307692307693,1.0,0.3076923076923077,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.3076923076923077,0.0
