model,rows,directional_called,neutral_called,directional_accuracy,directional_coverage,neutral_rate,bull_precision,bear_precision
"Best RuleB sweep (Bull+Bear, s>0.95, h>0.15, t>=1)",936,323,613,0.5603715170278638,0.3450854700854701,0.6549145299145299,0.5769230769230769,0.5449101796407185
Current RuleB reference,936,328,608,0.5579268292682927,0.3504273504273504,0.6495726495726496,0.5769230769230769,0.5406976744186046
v2_2 (base),936,351,585,0.5555555555555556,0.375,0.625,0.5732484076433121,0.5412371134020618
