cluster_id,start_row,end_row,length,start_epoch,end_epoch,trigger_types,truth_sequence,base_sequence,combo_sequence,good_combo_count,bad_combo_count
15,170,235,66,320935,321011,ruleb_raw|persist|osc|combo|osc_tag,Bear -> Bull -> Bear -> Bull -> Bull -> Bear -> Bear -> Bear -> Bear -> Bear -> Bear -> Bear -> Bull -> Bull -> Bear -> Bear -> Bear -> Bull -> Bull -> Bull -> Bull -> Bull -> Bear -> Bear -> Bear -> Bull -> Bull -> Bear -> Bull -> Bull -> Bull -> Bull -> Bull -> Bull -> Bull -> Bull -> Bull -> Bear -> Bull -> Bull -> Bear -> Bull -> Bear -> Bear -> Bear -> Bear -> Bear -> Bull -> Bull -> Bull -> Bear -> Bear -> Bear -> Bear -> Bear -> Bull -> Bull -> Bear -> Bear -> Bull -> Bear -> Bull -> Bull -> Bull -> Bear -> Bull,Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Bull -> Neutral -> Neutral -> Neutral -> Bear -> Neutral -> Bull -> Neutral -> Bear -> Bear -> Neutral -> Neutral -> Neutral -> Bear -> Neutral -> Neutral -> Bear -> Bear -> Bull -> Neutral -> Neutral -> Neutral -> Bull -> Bull -> Neutral -> Bear -> Neutral -> Bull -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Bear -> Bear -> Neutral -> Bear -> Bull -> Neutral -> Bull -> Neutral -> Bear -> Neutral -> Neutral -> Neutral -> Neutral -> Bear -> Neutral -> Neutral -> Bear -> Bull -> Neutral -> Neutral -> Neutral -> Bull -> Neutral -> Neutral -> Bull,Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Bull -> Neutral -> Neutral -> Neutral -> Bear -> Neutral -> Bull -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Bear -> Bear -> Bull -> Neutral -> Neutral -> Neutral -> Bull -> Bull -> Neutral -> Bear -> Neutral -> Bull -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Bear -> Neutral -> Bear -> Bull -> Neutral -> Bull -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Bear -> Neutral -> Neutral -> Bear -> Bull -> Neutral -> Neutral -> Neutral -> Bull -> Neutral -> Neutral -> Bull,3,2
16,248,248,1,321015,321015,osc_tag,Bull,Neutral,Neutral,0,0
17,251,258,8,321018,321025,osc_tag,Bull -> Bear -> Bear -> Bear -> Bull -> Bull -> Bear -> Bull,Neutral -> Neutral -> Bear -> Neutral -> Bull -> Neutral -> Neutral -> Neutral,Neutral -> Neutral -> Bear -> Neutral -> Bull -> Neutral -> Neutral -> Neutral,0,0
18,260,264,5,321026,321030,osc_tag,Bull -> Bear -> Bear -> Bear -> Bull,Bear -> Neutral -> Neutral -> Bear -> Bull,Bear -> Neutral -> Neutral -> Bear -> Bull,0,0
19,266,277,12,321032,321043,osc_tag,Bear -> Bear -> Bear -> Bull -> Bull -> Bear -> Bear -> Bull -> Bear -> Bear -> Bull -> Bull,Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Bear -> Bear -> Neutral -> Bull -> Neutral,Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Bear -> Bear -> Neutral -> Bull -> Neutral,0,0
20,279,296,18,321045,321062,osc_tag,Bull -> Bear -> Bear -> Bear -> Bear -> Bear -> Bear -> Bear -> Bear -> Bear -> Bull -> Bear -> Bull -> Bear -> Bear -> Bear -> Bear -> Bear,Neutral -> Bear -> Neutral -> Bear -> Neutral -> Bear -> Bear -> Neutral -> Bear -> Bull -> Neutral -> Neutral -> Bear -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral,Neutral -> Bear -> Neutral -> Bear -> Neutral -> Bear -> Bear -> Neutral -> Bear -> Bull -> Neutral -> Neutral -> Bear -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral,0,0
21,298,330,33,321064,321096,ruleb_raw|osc|combo|osc_tag,Bull -> Bear -> Bear -> Bull -> Bear -> Bull -> Bear -> Bull -> Bull -> Bull -> Bull -> Bull -> Bear -> Bull -> Bull -> Bull -> Bear -> Bear -> Bear -> Bear -> Bear -> Bear -> Bull -> Bear -> Bear -> Bear -> Bull -> Bull -> Bear -> Bear -> Bull -> Bull -> Bull,Bear -> Bear -> Neutral -> Bear -> Neutral -> Neutral -> Bull -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Bull -> Neutral -> Bull -> Neutral -> Bear -> Bear -> Neutral -> Neutral -> Neutral -> Bull -> Neutral -> Neutral -> Bear -> Neutral -> Bull -> Bear -> Neutral -> Neutral -> Neutral -> Bull -> Neutral,Bear -> Bear -> Neutral -> Bear -> Neutral -> Neutral -> Bull -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Bull -> Neutral -> Bull -> Neutral -> Bear -> Bear -> Neutral -> Neutral -> Neutral -> Bull -> Neutral -> Neutral -> Neutral -> Neutral -> Bull -> Bear -> Neutral -> Neutral -> Neutral -> Bull -> Neutral,0,1
22,333,340,8,321099,321106,osc_tag,Bull -> Bull -> Bear -> Bear -> Bull -> Bear -> Bear -> Bull,Neutral -> Bear -> Neutral -> Bull -> Bull -> Bear -> Neutral -> Bull,Neutral -> Bear -> Neutral -> Bull -> Bull -> Bear -> Neutral -> Bull,0,0
23,342,348,7,321108,321114,osc_tag,Bear -> Bear -> Bull -> Bear -> Bear -> Bull -> Bull,Neutral -> Bull -> Bear -> Bear -> Neutral -> Bull -> Neutral,Neutral -> Bull -> Bear -> Bear -> Neutral -> Bull -> Neutral,0,0
24,350,361,12,321116,321127,osc_tag,Bear -> Bull -> Bear -> Bear -> Bear -> Bear -> Bear -> Bull -> Bull -> Bull -> Bear -> Bear,Neutral -> Bear -> Neutral -> Bear -> Neutral -> Neutral -> Bull -> Neutral -> Neutral -> Bear -> Bear -> Neutral,Neutral -> Bear -> Neutral -> Bear -> Neutral -> Neutral -> Bull -> Neutral -> Neutral -> Bear -> Bear -> Neutral,0,0
