feature_name,non_null_count,non_zero_count,total_rows,population_rate,non_zero_rate
g8,484,484,484,1.0,1.0
g23,484,484,484,1.0,1.0
g38,484,484,484,1.0,1.0
g53,484,484,484,1.0,1.0
g68,484,484,484,1.0,1.0
g83,484,484,484,1.0,1.0
slope_g8,484,484,484,1.0,1.0
slope_g23,484,484,484,1.0,1.0
slope_g38,484,484,484,1.0,1.0
slope_g53,484,484,484,1.0,1.0
slope_g68,484,484,484,1.0,1.0
slope_g83,484,484,484,1.0,1.0
fan_width,484,484,484,1.0,1.0
fan_order_score,484,484,484,1.0,1.0
g83_curvature,482,474,484,0.9958677685950413,0.9793388429752066
fan_energy_total,484,484,484,1.0,1.0
fan_energy_ratio,484,484,484,1.0,1.0
hinge_gap,484,484,484,1.0,1.0
hinge_torsion,484,484,484,1.0,1.0
snap_score,484,484,484,1.0,1.0
phase_alignment,484,484,484,1.0,1.0
fan_phase_score,484,484,484,1.0,1.0
gaussian_wave,481,99,484,0.993801652892562,0.20454545454545456
wave_strength,481,474,484,0.993801652892562,0.9793388429752066
slow_retention,484,484,484,1.0,1.0
outer_fan_width,484,484,484,1.0,1.0
phase_disagreement,484,163,484,1.0,0.3367768595041322
inertia_wall_score,484,484,484,1.0,1.0
