feature_name,non_null_count,non_zero_count,total_rows,population_rate,non_zero_rate
g8,936,936,936,1.0,1.0
g23,936,936,936,1.0,1.0
g38,936,936,936,1.0,1.0
g53,936,936,936,1.0,1.0
g68,936,936,936,1.0,1.0
g83,936,936,936,1.0,1.0
slope_g8,936,936,936,1.0,1.0
slope_g23,936,936,936,1.0,1.0
slope_g38,936,936,936,1.0,1.0
slope_g53,936,936,936,1.0,1.0
slope_g68,936,936,936,1.0,1.0
slope_g83,936,936,936,1.0,1.0
fan_width,936,936,936,1.0,1.0
fan_order_score,936,936,936,1.0,1.0
g83_curvature,934,895,936,0.9978632478632479,0.9561965811965812
fan_energy_total,936,936,936,1.0,1.0
fan_energy_ratio,936,936,936,1.0,1.0
hinge_gap,936,936,936,1.0,1.0
hinge_torsion,936,936,936,1.0,1.0
snap_score,936,936,936,1.0,1.0
phase_alignment,936,936,936,1.0,1.0
fan_phase_score,936,936,936,1.0,1.0
gaussian_wave,933,184,936,0.9967948717948718,0.19658119658119658
wave_strength,933,896,936,0.9967948717948718,0.9572649572649573
slow_retention,936,936,936,1.0,1.0
outer_fan_width,936,936,936,1.0,1.0
phase_disagreement,936,367,936,1.0,0.3920940170940171
inertia_wall_score,936,936,936,1.0,1.0
