model,rows,directional_called,neutral_called,directional_accuracy,directional_coverage,neutral_rate,bull_precision,bear_precision,bull_recall,bear_recall
v2_2 (base),936,351,585,0.5555555555555556,0.375,0.625,0.5732484076433121,0.5412371134020618,0.19522776572668113,0.2219873150105708
Safe reference: Bear-only RuleB + Core A,936,348,588,0.5603448275862069,0.3717948717948718,0.6282051282051282,0.5732484076433121,0.5497382198952879,0.19522776572668113,0.2219873150105708
Fallback: Bear-only RuleB + Center Soft,936,345,591,0.5623188405797102,0.3685897435897436,0.6314102564102564,0.5732484076433121,0.5531914893617021,0.19522776572668113,0.21987315010570824
Winner: Bear-only RuleB + Window +/-1 + |hinge|>=0.18,936,343,593,0.5626822157434402,0.36645299145299143,0.6335470085470085,0.5732484076433121,0.553763440860215,0.19522776572668113,0.21775898520084566
Adaptive v275: Regime-mode 30-epoch controller,936,343,593,0.5626822157434402,0.36645299145299143,0.6335470085470085,0.5732484076433121,0.553763440860215,0.19522776572668113,0.21775898520084566
