variant,flip_score_threshold,alignment_threshold,compression_velocity_min,ratio_threshold,changed_rows_count,new_directional_called,baseline_directional_called,baseline_directional_accuracy,baseline_directional_coverage,baseline_bull_precision,baseline_bear_precision,new_directional_accuracy,new_directional_coverage,new_bull_precision,new_bear_precision,delta_directional_accuracy,delta_directional_coverage,delta_bull_precision,delta_bear_precision
bull_to_neutral,0.12,1.0,,,28,78,106,0.5283018867924528,0.4015151515151515,0.625,0.42,0.5,0.29545454545454547,0.6428571428571429,0.42,-0.028301886792452824,-0.10606060606060602,0.017857142857142905,0.0
bull_to_bear,0.12,1.0,,,28,106,106,0.5283018867924528,0.4015151515151515,0.625,0.42,0.4716981132075472,0.4015151515151515,0.6428571428571429,0.41025641025641024,-0.05660377358490565,0.0,0.017857142857142905,-0.009743589743589742
bull_to_neutral,0.12,1.0,,0.0,26,80,106,0.5283018867924528,0.4015151515151515,0.625,0.42,0.5,0.30303030303030304,0.6333333333333333,0.42,-0.028301886792452824,-0.09848484848484845,0.008333333333333304,0.0
bull_to_bear,0.12,1.0,,0.0,26,106,106,0.5283018867924528,0.4015151515151515,0.625,0.42,0.4716981132075472,0.4015151515151515,0.6333333333333333,0.40789473684210525,-0.05660377358490565,0.0,0.008333333333333304,-0.01210526315789473
bull_to_neutral,0.12,1.0,,-0.05,26,80,106,0.5283018867924528,0.4015151515151515,0.625,0.42,0.5,0.30303030303030304,0.6333333333333333,0.42,-0.028301886792452824,-0.09848484848484845,0.008333333333333304,0.0
bull_to_bear,0.12,1.0,,-0.05,26,106,106,0.5283018867924528,0.4015151515151515,0.625,0.42,0.4716981132075472,0.4015151515151515,0.6333333333333333,0.40789473684210525,-0.05660377358490565,0.0,0.008333333333333304,-0.01210526315789473
bull_to_neutral,0.12,1.0,,-0.1,26,80,106,0.5283018867924528,0.4015151515151515,0.625,0.42,0.5,0.30303030303030304,0.6333333333333333,0.42,-0.028301886792452824,-0.09848484848484845,0.008333333333333304,0.0
bull_to_bear,0.12,1.0,,-0.1,26,106,106,0.5283018867924528,0.4015151515151515,0.625,0.42,0.4716981132075472,0.4015151515151515,0.6333333333333333,0.40789473684210525,-0.05660377358490565,0.0,0.008333333333333304,-0.01210526315789473
bull_to_neutral,0.12,1.0,0.0,,20,86,106,0.5283018867924528,0.4015151515151515,0.625,0.42,0.5348837209302325,0.32575757575757575,0.6944444444444444,0.42,0.006581834137779685,-0.07575757575757575,0.06944444444444442,0.0
bull_to_bear,0.12,1.0,0.0,,20,106,106,0.5283018867924528,0.4015151515151515,0.625,0.42,0.5283018867924528,0.4015151515151515,0.6944444444444444,0.44285714285714284,0.0,0.0,0.06944444444444442,0.022857142857142854
bull_to_neutral,0.12,1.0,0.0,0.0,20,86,106,0.5283018867924528,0.4015151515151515,0.625,0.42,0.5348837209302325,0.32575757575757575,0.6944444444444444,0.42,0.006581834137779685,-0.07575757575757575,0.06944444444444442,0.0
bull_to_bear,0.12,1.0,0.0,0.0,20,106,106,0.5283018867924528,0.4015151515151515,0.625,0.42,0.5283018867924528,0.4015151515151515,0.6944444444444444,0.44285714285714284,0.0,0.0,0.06944444444444442,0.022857142857142854
bull_to_neutral,0.12,1.0,0.0,-0.05,20,86,106,0.5283018867924528,0.4015151515151515,0.625,0.42,0.5348837209302325,0.32575757575757575,0.6944444444444444,0.42,0.006581834137779685,-0.07575757575757575,0.06944444444444442,0.0
bull_to_bear,0.12,1.0,0.0,-0.05,20,106,106,0.5283018867924528,0.4015151515151515,0.625,0.42,0.5283018867924528,0.4015151515151515,0.6944444444444444,0.44285714285714284,0.0,0.0,0.06944444444444442,0.022857142857142854
bull_to_neutral,0.12,1.0,0.0,-0.1,20,86,106,0.5283018867924528,0.4015151515151515,0.625,0.42,0.5348837209302325,0.32575757575757575,0.6944444444444444,0.42,0.006581834137779685,-0.07575757575757575,0.06944444444444442,0.0
bull_to_bear,0.12,1.0,0.0,-0.1,20,106,106,0.5283018867924528,0.4015151515151515,0.625,0.42,0.5283018867924528,0.4015151515151515,0.6944444444444444,0.44285714285714284,0.0,0.0,0.06944444444444442,0.022857142857142854
bull_to_neutral,0.12,1.0,5.0,,17,89,106,0.5283018867924528,0.4015151515151515,0.625,0.42,0.5393258426966292,0.3371212121212121,0.6923076923076923,0.42,0.011023955904176375,-0.06439393939393939,0.06730769230769229,0.0
bull_to_bear,0.12,1.0,5.0,,17,106,106,0.5283018867924528,0.4015151515151515,0.625,0.42,0.5377358490566038,0.4015151515151515,0.6923076923076923,0.44776119402985076,0.009433962264150941,0.0,0.06730769230769229,0.027761194029850778
bull_to_neutral,0.12,1.0,5.0,0.0,17,89,106,0.5283018867924528,0.4015151515151515,0.625,0.42,0.5393258426966292,0.3371212121212121,0.6923076923076923,0.42,0.011023955904176375,-0.06439393939393939,0.06730769230769229,0.0
bull_to_bear,0.12,1.0,5.0,0.0,17,106,106,0.5283018867924528,0.4015151515151515,0.625,0.42,0.5377358490566038,0.4015151515151515,0.6923076923076923,0.44776119402985076,0.009433962264150941,0.0,0.06730769230769229,0.027761194029850778
bull_to_neutral,0.12,1.0,5.0,-0.05,17,89,106,0.5283018867924528,0.4015151515151515,0.625,0.42,0.5393258426966292,0.3371212121212121,0.6923076923076923,0.42,0.011023955904176375,-0.06439393939393939,0.06730769230769229,0.0
bull_to_bear,0.12,1.0,5.0,-0.05,17,106,106,0.5283018867924528,0.4015151515151515,0.625,0.42,0.5377358490566038,0.4015151515151515,0.6923076923076923,0.44776119402985076,0.009433962264150941,0.0,0.06730769230769229,0.027761194029850778
bull_to_neutral,0.12,1.0,5.0,-0.1,17,89,106,0.5283018867924528,0.4015151515151515,0.625,0.42,0.5393258426966292,0.3371212121212121,0.6923076923076923,0.42,0.011023955904176375,-0.06439393939393939,0.06730769230769229,0.0
bull_to_bear,0.12,1.0,5.0,-0.1,17,106,106,0.5283018867924528,0.4015151515151515,0.625,0.42,0.5377358490566038,0.4015151515151515,0.6923076923076923,0.44776119402985076,0.009433962264150941,0.0,0.06730769230769229,0.027761194029850778
