row_index,epoch,truth,base,slow_retention,abs_hinge,transition_score_v23,phase3,fs3,fast_alt,osc_core_count,center_any_support,center_phase_or_fs,center_fs2_or_phase2,pm1_neighbor_only,reason
665,321480,Bear,Bear,2.771633169550114,0.1608092361315853,1,1,2,0,1,1,1,1,0,Bear-only RuleB + Window +/-1|base=Bear|truth=Bear|slow=2.7716|abs_hinge=0.1608|transition=1|phase3=1|fs3=2|fast_alt=0|core_count=1|win_pm1=1|center_any=1|center_pf=1|center_strong=1|pm1_neighbor_only=0
451,321230,Bear,Bear,2.167359932764157,0.3744731433445593,1,1,1,0,0,1,1,0,0,Bear-only RuleB + Window +/-1|base=Bear|truth=Bear|slow=2.1674|abs_hinge=0.3745|transition=1|phase3=1|fs3=1|fast_alt=0|core_count=0|win_pm1=1|center_any=1|center_pf=1|center_strong=0|pm1_neighbor_only=0
106,320865,Bear,Bear,1.1927106035764157,0.1832001797052062,1,1,1,0,0,1,1,0,0,Bear-only RuleB + Window +/-1|base=Bear|truth=Bear|slow=1.1927|abs_hinge=0.1832|transition=1|phase3=1|fs3=1|fast_alt=0|core_count=0|win_pm1=1|center_any=1|center_pf=1|center_strong=0|pm1_neighbor_only=0
