group,value,rows,reversal_rate,continuation_rate,directional_call_rate,directional_accuracy,bull_precision,bear_precision
price_diff_sign_pattern,+++,146,0.5,0.5,0.3424657534246575,0.42,1.0,0.0
price_diff_sign_pattern,++-,104,0.49038461538461536,0.5096153846153846,0.36538461538461536,0.6842105263157895,0.0,1.0
price_diff_sign_pattern,+-+,104,0.5673076923076923,0.4326923076923077,0.33653846153846156,0.42857142857142855,1.0,0.0
price_diff_sign_pattern,+--,108,0.48148148148148145,0.5185185185185185,0.4444444444444444,0.6041666666666666,0.0,1.0
price_diff_sign_pattern,-++,104,0.41346153846153844,0.5865384615384616,0.4230769230769231,0.5681818181818182,1.0,0.0
price_diff_sign_pattern,-+-,106,0.5754716981132075,0.42452830188679247,0.32075471698113206,0.5882352941176471,0.0,1.0
price_diff_sign_pattern,--+,107,0.48598130841121495,0.514018691588785,0.45794392523364486,0.5714285714285714,1.0,0.0
price_diff_sign_pattern,---,155,0.6258064516129033,0.3741935483870968,0.32903225806451614,0.6078431372549019,0.0,1.0
price_diff_sign_pattern,0-+,1,1.0,0.0,1.0,0.0,0.0,0.0
price_diff_sign_pattern,00-,1,1.0,0.0,1.0,0.0,0.0,0.0
price_diff_vol_squeeze,0,807,0.5241635687732342,0.4758364312267658,0.36059479553903345,0.5773195876288659,0.6033057851239669,0.5588235294117647
price_diff_vol_squeeze,1,129,0.5193798449612403,0.4806201550387597,0.46511627906976744,0.45,0.47058823529411764,0.4230769230769231
direction_flip,0,513,0.5165692007797271,0.4834307992202729,0.3762183235867446,0.5492227979274611,0.5411764705882353,0.5555555555555556
direction_flip,1,423,0.5319148936170213,0.46808510638297873,0.3735224586288416,0.5632911392405063,0.6142857142857143,0.5227272727272727
epoch_volatility,0-0.5,6,0.5,0.5,0.16666666666666666,0.0,0.0,0.0
epoch_volatility,0.5-1.0,4,0.5,0.5,0.25,1.0,1.0,0.0
epoch_volatility,1.0-2.0,11,0.2727272727272727,0.7272727272727273,0.2727272727272727,1.0,1.0,1.0
epoch_volatility,2.0-plus,915,0.526775956284153,0.473224043715847,0.37814207650273224,0.5520231213872833,0.5723684210526315,0.5360824742268041
abs_momentum_3epoch,0-0.5,5,1.0,0.0,0.6,0.0,0.0,0.0
abs_momentum_3epoch,0.5-1.0,2,1.0,0.0,0.0,0.0,0.0,0.0
abs_momentum_3epoch,1.0-2.0,3,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5,0.5,0.0
abs_momentum_3epoch,2.0-plus,926,0.519438444924406,0.48056155507559395,0.37365010799136067,0.5606936416184971,0.5789473684210527,0.5463917525773195
