threshold,rows,reversal_rate,continuation_rate,directional_accuracy,bull_precision,bear_precision,coverage_if_used_as_transition_gate
score>=1,622,0.5385852090032154,0.46141479099678456,0.55625,1.0,0.5448717948717948,0.6645299145299145
score>=2,191,0.6230366492146597,0.3769633507853403,1.0,0.0,1.0,0.20405982905982906
score>=3,20,0.6,0.4,0.0,0.0,0.0,0.021367521367521368
score>=4,0,0.0,0.0,0.0,0.0,0.0,0.0
