feature,rows,rate_in_dataset,reversal_rate_when_feature,continuation_rate_when_feature,bull_rate_when_feature,bear_rate_when_feature,lift_vs_baseline_reversal
collapse_plus_inertia_v23,1,0.002512562814070352,1.0,0.0,0.0,1.0,2.1748633879781423
collapse_plus_torsion_spring_v23,9,0.022613065326633167,0.6666666666666666,0.3333333333333333,0.1111111111111111,0.8888888888888888,1.4499089253187614
fan_collapse_v23,11,0.02763819095477387,0.6363636363636364,0.36363636363636365,0.09090909090909091,0.9090909090909091,1.3840039741679087
collapse_plus_transition_v23,11,0.02763819095477387,0.6363636363636364,0.36363636363636365,0.09090909090909091,0.9090909090909091,1.3840039741679087
inertia_wall_active,20,0.05025125628140704,0.6,0.4,0.45,0.55,1.3049180327868852
compression_trap_v23,5,0.01256281407035176,0.6,0.4,0.0,1.0,1.3049180327868852
torsion_spring_plus_inertia_v23,19,0.04773869346733668,0.5789473684210527,0.42105263157894735,0.47368421052631576,0.5263157894736842,1.2591314351452403
transition_plus_hinge_pivot_v23,37,0.09296482412060302,0.5675675675675675,0.43243243243243246,0.5405405405405406,0.4594594594594595,1.234381922906513
torsion_spring_plus_transition_v23,70,0.17587939698492464,0.5571428571428572,0.44285714285714284,0.5142857142857142,0.4857142857142857,1.2117096018735363
transition_gate_v23,92,0.23115577889447236,0.5434782608695652,0.45652173913043476,0.4891304347826087,0.5108695652173914,1.181990971727251
torsion_spring_strong_v23,87,0.2185929648241206,0.5402298850574713,0.45977011494252873,0.4827586206896552,0.5172413793103449,1.1749261981031343
hinge_torsion_spike,134,0.33668341708542715,0.5149253731343284,0.48507462686567165,0.5149253731343284,0.48507462686567165,1.1198923415708344
phase_disagreement,136,0.3417085427135678,0.5147058823529411,0.4852941176470588,0.49264705882352944,0.5073529411764706,1.1194149791063965
fan_polarity_inversion_trap,71,0.17839195979899497,0.5070422535211268,0.49295774647887325,0.4084507042253521,0.5915492957746479,1.1027476333410298
hinge_pivot_v23,101,0.2537688442211055,0.4752475247524752,0.5247524752475248,0.48514851485148514,0.5148514851485149,1.0335984418113942
hinge_pivot_strong_v23,101,0.2537688442211055,0.4752475247524752,0.5247524752475248,0.48514851485148514,0.5148514851485149,1.0335984418113942
fan_polarity_inversion,96,0.24120603015075376,0.4583333333333333,0.53125,0.3958333333333333,0.59375,0.9968123861566485
torsion_spring_active_v23,345,0.8668341708542714,0.4318840579710145,0.5594202898550724,0.4927536231884058,0.5043478260869565,0.9392888255325889
fan_energy_cycle_v23,77,0.1934673366834171,0.4155844155844156,0.5714285714285714,0.45454545454545453,0.5454545454545454,0.9038393300688383
accordion_effect_v23,77,0.1934673366834171,0.4155844155844156,0.5714285714285714,0.45454545454545453,0.5454545454545454,0.9038393300688383
price_diff_vol_squeeze,58,0.1457286432160804,0.39655172413793105,0.603448275862069,0.5172413793103449,0.4827586206896552,0.8624458262671943
inertia_plus_hinge_pivot_v23,9,0.022613065326633167,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.7249544626593807
