directional_error_type,row_count,coverage_within_export_set,mean_gaussian_wave,count_gaussian_wave,mean_wave_strength,count_wave_strength,mean_slow_retention,count_slow_retention,mean_outer_fan_width,count_outer_fan_width,mean_phase_disagreement,count_phase_disagreement,mean_inertia_wall_score,count_inertia_wall_score
correct_bull,102,0.10897435897435898,0.08823529411764706,102,151.31507959044464,102,0.9646515377345863,102,18.743117913631746,102,0.0,102,5.109801610736174,102
correct_bear,91,0.09722222222222222,0.25274725274725274,91,177.33127866773197,91,0.9311765598971621,91,17.750437487412984,91,0.01098901098901099,91,4.857958523829256,91
bull_called_bear_truth,81,0.08653846153846154,0.0125,80,194.95070715516303,80,0.8767807676355275,81,15.192872128157443,81,0.0,81,4.181769280459531,81
bear_called_bull_truth,77,0.08226495726495726,0.4342105263157895,76,190.2310242918971,76,0.8119230028837414,77,14.19052272640239,77,0.0,77,3.910475346178043,77
neutral_called_bull_truth,282,0.30128205128205127,0.3475177304964539,282,157.54327844080385,282,0.6146800031052304,282,13.37978095116772,282,0.6134751773049646,282,3.7980368031468204,282
neutral_called_bear_truth,301,0.3215811965811966,0.06333333333333334,300,141.27216686325428,300,0.5841639276285154,301,12.042306872596567,301,0.6378737541528239,301,3.4575743094035802,301
