chunk,model,rows,triggers,acc,cov,bear
1,base,234,0,0.6067415730337079,0.3803418803418803,0.6226415094339622
1,winner,234,4,0.6235294117647059,0.36324786324786323,0.6530612244897959
1,fallback,234,2,0.6206896551724138,0.3717948717948718,0.6470588235294118
1,adaptive_v2,234,4,0.6235294117647059,0.36324786324786323,0.6530612244897959
2,base,234,0,0.5360824742268041,0.41452991452991456,0.47368421052631576
2,winner,234,2,0.5368421052631579,0.405982905982906,0.4727272727272727
2,fallback,234,2,0.5368421052631579,0.405982905982906,0.4727272727272727
2,adaptive_v2,234,2,0.5368421052631579,0.405982905982906,0.4727272727272727
3,base,234,0,0.5376344086021505,0.3974358974358974,0.5192307692307693
3,winner,234,2,0.5494505494505495,0.3888888888888889,0.54
3,fallback,234,2,0.5494505494505495,0.3888888888888889,0.54
3,adaptive_v2,234,2,0.5494505494505495,0.3888888888888889,0.54
4,base,234,0,0.5416666666666666,0.3076923076923077,0.5625
4,winner,234,0,0.5416666666666666,0.3076923076923077,0.5625
4,fallback,234,0,0.5416666666666666,0.3076923076923077,0.5625
4,adaptive_v2,234,0,0.5416666666666666,0.3076923076923077,0.5625
