model,rows,directional_called,neutral_called,directional_accuracy,directional_coverage,neutral_rate,bull_precision,bear_precision
v2_2 (base),726,289,437,0.5570934256055363,0.39807162534435264,0.6019283746556474,0.5819672131147541,0.5389221556886228
Neutralize-Only Overlay Proto v2.5,726,288,438,0.5555555555555556,0.39669421487603307,0.6033057851239669,0.5819672131147541,0.536144578313253
Warning-Only Neutralization Overlay Proto v2.6,726,220,506,0.5409090909090909,0.30303030303030304,0.696969696969697,0.5619047619047619,0.5217391304347826
