model_id,epoch,next_epoch,timestamp,prediction,confidence,score,reason,truth,start_price,end_price,price_difference,round_current_timestamp,round_next_epoch_time,correct,directional_called,directional_correct,bull_called,bear_called,neutral_called,bull_called_bear_truth,bear_called_bull_truth,neutral_called_bull_truth,neutral_called_bear_truth,bull_called_neutral_truth,bear_called_neutral_truth,regime,run_direction,g8,g23,g38,g53,g68,g83,slope_g8,slope_g23,slope_g38,slope_g53,slope_g68,slope_g83,fan_width,fan_width_velocity,fan_width_acceleration,fan_order_score,g83_curvature,alignment,compression_velocity,flip_score,slope_sum,slope_magnitude,ratio_8_23_to_23_53,s23,s53,fan_width_raw,alignment_raw,compression_velocity_raw,flip_score_raw,slope_sign_s23,slope_sign_s53,slope_disagreement,slope_gap,abs_slope_sum,abs_compression_velocity,abs_flip_score,fan_to_slope_ratio,collapse_flag,weak_bull_exhaustion_flag,weak_bear_exhaustion_flag,possible_flip_zone,possible_run_zone,possible_transition_zone,fan_energy_total,fan_energy_ratio,fan_energy_velocity,fan_energy_acceleration,fan_sign_conflict,fan_energy_instability,hinge_gap,hinge_velocity,hinge_conflict,hinge_torsion,snap_divergence,snap_velocity,snap_score,phase_alignment,phase_strength,phase_velocity,fan_phase_score,phase_disagreement,hinge_torsion_spike,transition_score_base,fan_polarity_inversion,fan_polarity_normal,outer_fan_width,outer_fan_width_prev,outer_order_signature,slow_retention,gaussian_wave,wave_strength,fan_velocity_sign_t0,fan_velocity_sign_t1,fan_velocity_sign_t2,fan_velocity_pattern_3,fan_velocity_oscillation,fan_velocity_oscillation_strength,fan_collapse_v2,fan_collapse_v2_strict,compression_trap,compression_trap_strict,epoch_start_price,epoch_end_price,epoch_price_diff,epoch_return,epoch_volatility,price_diff_t0,price_diff_t1,price_diff_t2,momentum_3epoch,price_diff_3epoch_abs_sum,price_diff_sign_pattern,direction_flip,price_diff_decay_ratio,price_diff_vol_squeeze,fan_energy_t0,fan_energy_t1,fan_energy_t2,fan_energy_t3,fan_energy_release_signal,fan_energy_cycle_stage,inertia_wall_score,reversal_pressure,tail_anchor_type,extrema_pair,v2_2_rule,directional_error_type,truth_direction_group,prediction_direction_group
trend_method_v2_0,320762,320763,2026-03-09T22:24:49.079149,Neutral,1.0,0.0,regime=NOISE|slope_sum=-0.425432,Bear,69227.26,69226.07,-1.19,03/09/2026  10:20:18 PM,03/09/2026  10:25:03 PM,False,False,False,False,False,True,False,False,False,True,False,False,NOISE,Bear,69158.5083378637,69159.11501681109,69166.81557384372,69176.28318811177,69183.12840414388,69187.63250545578,0.42661427244820516,-0.1501291820932238,-0.28201407527194533,-0.27530329276669363,-0.20528173625280033,-0.1502825714469509,29.124167592075537,7.544937578000827,-63.07538240145368,1.0,-30.578099073609337,0.0,-5.44534145257785,0.09647593744157348,-0.4254324748599174,0.4254324748599174,0.03533742392964435,-0.1501291820932238,-0.27530329276669363,29.124167592075537,0.0,-5.44534145257785,0.09647593744157348,-1,-1,False,0.12517411067346984,0.4254324748599174,5.44534145257785,0.09647593744157348,68.45779133730983,True,False,False,True,False,True,1.4896251302798191,1.3612325774511709,0.4797768698190339,1.2549798814306996,True,0.5305969501607591,-7.700557032629149,-1.122071175777819,False,0.30518789991735623,0.7086283477201505,0.5314806719761691,0.8251786134255499,0.8333333333333334,1.4896251302798191,-0.16666666666666663,0.6954165937160818,0,0,1,1,0,11.349317344007432,4.7139199509547325,83>68>53,0.6308676004664449,,,1,1,0,0++,0,78.16525755745533,0,0,0,0,69227.26,69226.07,-1.19,-1.7189760218734644e-05,1.19,-1.19,82.34,-25.53,55.620000000000005,109.06,-+-,1,0.04661182922052487,0,1.4896251302798191,1.0098482604607852,1.785051272072451,,0,other,3.135454561176039,64.72893424920767,,,,neutral_called_bear_truth,Bear,Neutral
trend_method_v2_0,320765,320766,2026-03-09T22:39:54.061057,Neutral,1.0,0.0,regime=NOISE|slope_sum=0.221365,Bull,69381.43,70042.99,661.56,03/09/2026  10:35:22 PM,03/09/2026  10:40:08 PM,False,False,False,False,False,True,False,False,True,False,False,False,NOISE,Bull,70046.9127631081,70020.2462536959,70023.79039620826,70027.23687338401,70022.20027633855,70008.47661700356,2.284328890797042,0.2535584031538747,-0.12880525384753128,-0.03219360612274613,0.18846622638739063,0.40796452625909296,-38.43614610454824,185.1143021214375,284.15708231017925,0.6,-219.99857459357008,0.0,-5.981203247749363,0.19438804076427396,0.22136479703112855,0.22136479703112855,-3.8146130955682906,0.2535584031538747,-0.03219360612274613,38.43614610454824,0.0,-5.981203247749363,0.19438804076427396,1,-1,True,0.2857520092766208,0.22136479703112855,5.981203247749363,0.19438804076427396,173.6326038287981,True,True,False,True,False,True,3.2953169065676775,4.242108201183149,-7.289546494959723,-11.822109539667508,False,0.6236948218829745,-3.5441425123572117,-34.935391426770366,True,1.0,2.413134144644573,-0.23217230000045674,0.9049165216428096,0.6666666666666666,3.2953169065676775,-0.33333333333333337,0.20754901167593476,0,1,1,0,0,18.76025638045394,103.7202032434434,53>68>83,0.6286243587692297,0,437.7889179394988,1,-1,-1,--+,0,437.7889179394988,0,0,0,0,69381.43,70042.99,661.56,0.009535116240757794,661.56,661.56,198.97,-43.61,816.92,904.1399999999999,-++,0,15.169915157074065,0,3.2953169065676775,10.5848634015274,6.0523003568196145,1.4896251302798191,0,other,5.091513838621177,-249.45386318340934,,,,neutral_called_bull_truth,Bull,Neutral
trend_method_v2_0,320768,320769,2026-03-09T22:54:58.106169,Neutral,1.0,0.0,regime=NOISE|slope_sum=-0.688193,Bull,70288.99,70520.0,231.01,03/09/2026  10:50:26 PM,03/09/2026  10:55:12 PM,False,False,False,False,False,True,False,False,True,False,False,False,NOISE,Bear,70340.29925554871,70328.64774934392,70344.88770258712,70368.22316319472,70384.91230540037,70393.60880031806,1.1039494618362369,-0.01917203019365843,-0.6385510505479033,-0.6690208627715037,-0.48205171719382633,-0.2884862519476883,53.30954476934858,178.6231627488305,213.72822387849737,0.8,-152.92145502218045,0.0,-3.8982772779418156,0.29561524262563105,-0.6881928929651622,0.6881928929651622,-0.29441274444857873,-0.01917203019365843,-0.6690208627715037,53.30954476934858,0.0,-3.8982772779418156,0.29561524262563105,-1,-1,False,0.6498488325778453,0.6881928929651622,3.8982772779418156,0.29561524262563105,77.46308529816105,True,False,False,True,False,True,3.201231374490817,1.2237586290493774,-3.9114293155362247,-4.449630162709582,True,0.820124362970547,-16.239953243202763,-43.42915504879784,False,0.9417018172084136,1.7425005123841402,-0.9591224816031172,0.9891171430953879,0.8333333333333334,3.201231374490817,-0.16666666666666663,0.25202902587205156,1,1,2,0,0,25.38563712334144,28.03526325788698,83>68>53,1.4395588319130184,0,265.5006346237642,1,-1,-1,--+,0,265.5006346237642,0,0,0,0,70288.99,70520.0,231.01,0.003286574469202075,231.01,231.01,260.03,-14.03,477.01,505.06999999999994,-++,0,16.46543121881682,0,3.201231374490817,7.112660690027042,6.574459842853685,3.2953169065676775,0,other,7.263488086181829,-171.25819131130265,,,,neutral_called_bull_truth,Bull,Neutral
trend_method_v2_0,320769,320770,2026-03-09T23:00:00.078914,Neutral,1.0,0.0,regime=NOISE|slope_sum=-0.351230,Bear,70520.0,70403.56,-116.44,03/09/2026  10:55:27 PM,03/09/2026  11:00:14 PM,False,False,False,False,False,True,False,False,False,True,False,False,NOISE,Bear,70268.59160928965,70271.00029168591,70275.16617381123,70284.78685141138,70295.05053763898,70305.26446225854,0.06994714013853809,-0.05024494569806848,-0.2039871493307146,-0.30098460415501904,-0.31069091959579964,-0.31472965631837724,36.6728529688844,-16.636691800464178,-195.2598545492947,1.0,-115.10928474993852,0.0,-4.365963927062694,0.054626167481737424,-0.3512295498530875,0.3512295498530875,0.174712360737262,-0.05024494569806848,-0.30098460415501904,36.6728529688844,0.0,-4.365963927062694,0.054626167481737424,-1,-1,False,0.25073965845695056,0.3512295498530875,4.365963927062694,0.054626167481737424,104.41277786628129,True,False,False,True,False,True,1.250584415236517,0.34993245087760333,-1.9506469592542999,1.9607823562819249,True,0.40368887736571085,-4.165882125322241,12.074071117880521,False,0.6047316866709534,0.2739342894692527,-1.4685662229148875,0.845008747484597,0.8333333333333334,1.250584415236517,0.0,0.0984569795405561,0,0,1,1,0,20.47761084715603,25.38563712334144,83>68>53,0.9264051800691959,0,230.36491567896155,-1,1,-1,-+-,1,230.36491567896155,0,0,0,0,70520.0,70403.56,-116.44,-0.0016511627906976743,116.44,-116.44,231.01,260.03,374.59999999999997,607.48,++-,1,0.4477944852517018,1,1.250584415236517,3.201231374490817,7.112660690027042,6.574459842853685,0,decay,5.5806745368173285,205.86535944426032,,,,neutral_called_bear_truth,Bear,Neutral
trend_method_v2_0,320771,320772,2026-03-09T23:10:02.084063,Neutral,1.0,0.0,regime=NOISE|slope_sum=0.396279,Bear,70281.6,70110.45,-171.15,03/09/2026  11:05:32 PM,03/09/2026  11:10:16 PM,False,False,False,False,False,True,False,False,False,True,False,False,NOISE,Bull,70157.97430948485,70153.51143529329,70145.20240714893,70136.89744187167,70133.15991017979,70134.73701328381,0.4941593312596524,0.16284566296781122,0.28853136904035637,0.2334337999964191,0.09982922003655403,-0.032393350840720814,-23.237296201041318,-159.0624388477736,-258.21472852562147,0.8,10.387106842623325,0.0,-0.08275968648376875,0.0970740539117417,0.39627946296423033,0.39627946296423033,-0.2686214011310403,0.16284566296781122,0.2334337999964191,23.237296201041318,0.0,-0.08275968648376875,0.0970740539117417,1,1,False,0.07058813702860789,0.39627946296423033,0.08275968648376875,0.0970740539117417,58.63865875668355,False,False,False,True,False,True,1.311192734141514,2.5858604924852515,-4.813533128159179,-9.687674575223355,True,0.8884507635368792,8.309028144358308,47.44048489302804,False,0.27844949379318634,0.4569993743643863,-0.011844503778775106,0.4833228970538733,0.8333333333333334,1.311192734141514,-0.16666666666666663,0.10322859826674037,0,0,0,0,0,2.160428587856586,32.295607875770656,53>83>68,0.36565637087369396,0,274.85142032608564,-1,1,-1,-+-,1,274.85142032608564,0,0,1,1,70281.6,70110.45,-171.15,-0.002435203524108728,171.15,-171.15,-121.96,-116.44,-409.54999999999995,409.54999999999995,---,0,1.4698557196839575,0,1.311192734141514,6.124725862300693,1.250584415236517,3.201231374490817,0,other,0.7281371193826021,305.64336891487073,,,,neutral_called_bear_truth,Bear,Neutral
trend_method_v2_0,320772,320773,2026-03-09T23:15:04.065181,Neutral,1.0,0.0,regime=NOISE|slope_sum=0.224283,Bull,70110.45,70202.61,92.16,03/09/2026  11:10:32 PM,03/09/2026  11:15:18 PM,False,False,False,False,False,True,False,False,True,False,False,False,NOISE,Bull,70176.16821865091,70171.44919964315,70166.56823428039,70167.27958172305,70167.94718216121,70166.89768426544,0.09917166019840806,0.23979624911225983,0.08295658151837415,-0.015513429085331154,-0.0007103007246769266,0.03484772199408326,-9.270534385475912,13.966761815565405,173.029200663339,0.6,112.23084204767656,0.0,-1.243224131394527,0.08215867825617483,0.22428282002692868,0.22428282002692868,-1.1317629329757732,0.23979624911225983,-0.015513429085331154,9.270534385475912,0.0,-1.243224131394527,0.08215867825617483,1,-1,True,0.255309678197591,0.22428282002692868,1.243224131394527,0.08215867825617483,41.33412619104236,True,True,False,True,False,True,0.4729959426331334,8.261454803508085,-0.8381967915083806,3.9753363366507983,False,0.3568102411028895,4.880965362754068,-3.4280627816042397,False,0.48594358502583274,0.29746425650773745,-0.15953511785664887,0.7050177531132362,0.6666666666666666,0.4729959426331334,-0.16666666666666674,0.029790713064524438,0,0,0,0,0,0.3818974576133769,2.160428587856586,68>53>83,0.05107145180409134,1,272.1814903411869,1,-1,1,+-+,1,272.1814903411869,0,0,0,0,70110.45,70202.61,92.16,0.0013144973395549451,92.16,92.16,-171.15,-121.96,-200.95000000000002,385.27,--+,1,0.755657592653329,0,0.4729959426331334,1.311192734141514,6.124725862300693,1.250584415236517,0,decay,0.18879448287885567,-169.7606729995914,,,,neutral_called_bull_truth,Bull,Neutral
trend_method_v2_0,320773,320774,2026-03-09T23:20:04.053751,Neutral,1.0,0.0,regime=NOISE|slope_sum=-0.076636,Bear,70202.61,70184.01,-18.6,03/09/2026  11:15:33 PM,03/09/2026  11:20:18 PM,False,False,False,False,False,True,False,False,False,True,False,False,NOISE,Bear,70162.97111897342,70159.35533605733,70163.32259130207,70165.3414639833,70165.90248398946,70166.08233780354,0.5341014613404695,-0.02678795288557012,-0.10512561003270093,-0.04984771890849515,-0.02130103025046992,-0.01137937693601998,3.111218830119469,12.381753215595381,-1.585008599970024,0.8,-32.976017443521414,0.0,1.7225117152265739,0.09571908072130533,-0.07663567179406527,0.07663567179406527,-0.604027003799737,-0.02678795288557012,-0.04984771890849515,3.111218830119469,0.0,1.7225117152265739,0.09571908072130533,-1,-1,False,0.023059766022925032,0.07663567179406527,1.7225117152265739,0.09571908072130533,40.597527982528945,False,False,False,True,False,True,0.7485431503537257,8.070158087585755,0.27554720772059227,1.1137439992289728,True,0.6558993353657776,-3.9672552447445923,-8.84822060749866,False,0.5938559721540235,0.6392270713731705,0.34176281486543303,0.9597787558690819,0.8333333333333334,0.7485431503537257,0.16666666666666674,0.05893188555821063,1,0,1,0,0,0.7408738202357199,0.3818974576133769,83>68>53,0.08252812609498505,0,185.41095387893438,1,1,-1,-++,0,185.41095387893438,0,0,0,0,70202.61,70184.01,-18.6,-0.00026494741434826996,18.6,-18.6,92.16,-171.15,-97.59,281.91,-+-,1,0.10867659947414549,1,0.7485431503537257,0.4729959426331334,1.311192734141514,6.124725862300693,1,release,0.5073081013200276,10.774992022334118,,,,neutral_called_bear_truth,Bear,Neutral
trend_method_v2_0,320774,320775,2026-03-09T23:25:05.089499,Neutral,0.7690408847590868,0.0,regime=NOISE|slope_sum=-0.076235,Bear,70184.01,70171.8,-12.21,03/09/2026  11:20:35 PM,03/09/2026  11:25:19 PM,False,False,False,False,False,True,False,False,False,True,False,False,NOISE,Bear,70199.80010626541,70201.28317336839,70204.17441419559,70205.7077647613,70204.30807066249,70201.62540177142,-0.161558037292707,-0.051588838894531364,-0.09774609271153167,-0.024645904981298372,0.04073124739988998,0.07039701819303446,1.8252955060161185,-1.2859233241033508,-13.667676539698732,0.6,36.358410429776995,0.0,-0.44022880372358486,0.04159834453755701,-0.07623474387582974,0.07623474387582974,0.3351873587730487,-0.051588838894531364,-0.024645904981298372,1.8252955060161185,0.0,-0.44022880372358486,0.04159834453755701,-1,-1,False,0.02694293391323299,0.07623474387582974,0.44022880372358486,0.04159834453755701,23.943092259733156,False,False,False,False,False,False,0.44666713947299286,2.2897799160468164,-0.3018760108807328,-0.5774232186013251,True,0.7516382848151923,-2.891240827200818,1.0760144175437745,False,0.30908544518412134,0.15612645221517596,-0.4831006191579945,0.5021871442387374,0.6666666666666666,0.44666713947299286,-0.16666666666666674,0.028132445520177966,1,0,1,0,0,4.082362989880494,0.7408738202357199,53>68>83,0.1357741705742228,0,27.634438355264137,-1,1,1,++-,0,27.634438355264137,0,0,0,0,70184.01,70171.8,-12.21,-0.00017397125071650938,12.21,-12.21,-18.6,92.16,61.35,122.97,+--,0,0.13248697916666669,1,0.44666713947299286,0.7485431503537257,0.4729959426331334,1.311192734141514,0,other,1.3212632324774307,14.260590338084512,,,,neutral_called_bear_truth,Bear,Neutral
trend_method_v2_0,320776,320777,2026-03-09T23:35:06.084531,Neutral,1.0,0.0,regime=NOISE|slope_sum=0.095704,Bear,70169.58,70119.71,-49.87,03/09/2026  11:30:37 PM,03/09/2026  11:35:20 PM,False,False,False,False,False,True,False,False,False,True,False,False,NOISE,Bull,70091.35247259834,70095.1392089966,70090.41719355588,70089.57813644667,70092.28597474287,70096.95460413958,-0.638643049995153,0.09458110216655768,0.1118823530505324,0.0011227548948227195,-0.08143148579074477,-0.1305178150323627,5.602131541236304,-39.112959328325815,-82.00275469187181,0.4,-22.91559552741819,0.0,-4.666911046660971,0.11488653045158745,0.0957038570613804,0.0957038570613804,0.6809363416090165,0.09458110216655768,0.0011227548948227195,5.602131541236304,0.0,-4.666911046660971,0.11488653045158745,1,1,False,0.09345834727173497,0.0957038570613804,4.666911046660971,0.11488653045158745,58.53611038522025,True,True,False,True,False,True,1.0581785609301733,3.9662944179363198,-0.8837116445320135,-2.3789347105212073,False,0.6194570506018822,4.722015440711402,14.032430905397632,False,0.08379812720746621,0.7505254030456854,0.4273918865528685,0.8880838076819628,0.5,1.0581785609301733,-0.5,0.04998546135122904,0,0,0,0,0,7.376467692913138,12.131200567440828,83>68>53,0.2130720557179302,0,83.28867801597517,-1,1,-1,-+-,1,83.28867801597517,0,0,1,1,70169.58,70119.71,-49.87,-0.000710706833359983,49.87,-49.87,-2.22,-12.21,-64.3,64.3,---,0,4.084357084357084,0,1.0581785609301733,1.9418902054621867,0.44666713947299286,0.7485431503537257,0,other,1.9419154645965766,96.46257748382232,,,,neutral_called_bear_truth,Bear,Neutral
trend_method_v2_0,320777,320778,2026-03-09T23:40:07.124305,Neutral,1.0,0.0,regime=NOISE|slope_sum=-0.172680,Bear,70119.71,70043.59,-76.12,03/09/2026  11:35:35 PM,03/09/2026  11:40:21 PM,False,False,False,False,False,True,False,False,False,True,False,False,NOISE,Bear,70049.30047425476,70047.66368185011,70050.80709989065,70054.0267684985,70057.38739938884,70060.66980500767,0.5315685692603438,-0.07050613826868357,-0.09458158700363128,-0.10217382293740229,-0.1036600360457669,-0.1023247120083397,11.369330752902897,5.767199211666593,44.88015853999241,0.8,27.50839744771656,0.0,-3.6884724992269184,0.06065218391013332,-0.17267996120608586,0.17267996120608586,-0.25723245569939146,-0.07050613826868357,-0.10217382293740229,11.369330752902897,0.0,-3.6884724992269184,0.06065218391013332,-1,-1,False,0.03166768466871872,0.17267996120608586,3.6884724992269184,0.06065218391013332,65.84047548710129,True,False,False,True,False,True,1.0048148655241675,2.260707181666722,-0.05336369540600572,0.8303479491260077,True,0.5773272245208052,-3.1434180405340157,-7.865433481245418,False,0.1458342750512485,0.6261501562639751,-0.1243752467817103,0.8987935100536463,0.8333333333333334,1.0048148655241675,0.33333333333333337,0.07910784386214284,1,0,1,0,0,6.64303650916554,7.376467692913138,83>68>53,0.3081585709915089,1,87.76995390353841,1,-1,1,+-+,1,87.76995390353841,0,0,0,0,70119.71,70043.59,-76.12,-0.0010855720880762342,76.12,-76.12,-49.87,-2.22,-128.21,128.21,---,0,34.288288288288285,0,1.0048148655241675,1.0581785609301733,1.9418902054621867,0.44666713947299286,0,decay,2.005897696945676,-37.1391003055287,,,,neutral_called_bear_truth,Bear,Neutral
