model,rows,directional_called,neutral_called,directional_accuracy,directional_coverage,neutral_rate,bull_precision,bear_precision
v2.6B RuleB,784,293,491,0.5733788395904437,0.3737244897959184,0.6262755102040817,0.5970149253731343,0.5534591194968553
v2.6C RuleA + BearRuleB,784,293,491,0.5733788395904437,0.3737244897959184,0.6262755102040817,0.5970149253731343,0.5534591194968553
v2.6A RuleA,784,311,473,0.572347266881029,0.39668367346938777,0.6033163265306123,0.5970149253731343,0.5536723163841808
v2_2 (base),784,314,470,0.5700636942675159,0.4005102040816326,0.5994897959183674,0.5925925925925926,0.553072625698324
Neutralize-Only Overlay Proto v2.5,784,313,471,0.5686900958466453,0.399234693877551,0.6007653061224489,0.5925925925925926,0.550561797752809
Warning-Only Neutralization Overlay Proto v2.6,784,240,544,0.55,0.30612244897959184,0.6938775510204082,0.5726495726495726,0.5284552845528455
