outer_fan_width_bin,rows,bull_count,bear_count,neutral_count,directional_accuracy,reversal_rate,continuation_rate
0_to_6,259,43,41,175,0.5119047619047619,0.5637065637065637,0.4362934362934363
6_to_15,382,59,72,251,0.5648854961832062,0.5287958115183246,0.4712041884816754
15_to_25,161,37,33,91,0.6142857142857143,0.5217391304347826,0.4782608695652174
25_plus,134,18,48,68,0.5303030303030303,0.43283582089552236,0.5671641791044776
