model,hinge_floor,triggers,good_wrong_bear,bad_right_bear,capture_of_ruleb_wrong_bear,rows,directional_called,neutral_called,directional_accuracy,directional_coverage,neutral_rate,bull_precision,bear_precision,bull_recall,bear_recall
bear_pm1_h012,0.12,9,6,3,0.46153846153846156,936,342,594,0.5614035087719298,0.36538461538461536,0.6346153846153846,0.5732484076433121,0.5513513513513514,0.19522776572668113,0.2156448202959831
bear_pm1_h015,0.15,9,6,3,0.46153846153846156,936,342,594,0.5614035087719298,0.36538461538461536,0.6346153846153846,0.5732484076433121,0.5513513513513514,0.19522776572668113,0.2156448202959831
bear_pm1_h018,0.18,8,6,2,0.46153846153846156,936,343,593,0.5626822157434402,0.36645299145299143,0.6335470085470085,0.5732484076433121,0.553763440860215,0.19522776572668113,0.21775898520084566
bear_pm1_h022,0.22,5,4,1,0.3076923076923077,936,346,590,0.5606936416184971,0.3696581196581197,0.6303418803418803,0.5732484076433121,0.5502645502645502,0.19522776572668113,0.21987315010570824
bear_pm1_h026,0.26,3,2,1,0.15384615384615385,936,348,588,0.5574712643678161,0.3717948717948718,0.6282051282051282,0.5732484076433121,0.5445026178010471,0.19522776572668113,0.21987315010570824
