src_meta_epoch,v21_trend,v21_reason,v21_bear_continuation_score,v21_bull_raw,v21_bear_raw,v21_sep
312182,Neutral,NEU_BULL_INVALIDATED,0.1382833333333333,0.3545160509563051,0.1411093842896384,0.2134066666666667
308569,Neutral,NEU_BULL_INVALIDATED,0.14255,0.29535925304097,0.1398792530409702,0.1554799999999998
302397,Neutral,NEU_BULL_INVALIDATED,0.14255,0.2950414007869988,0.1395614007869989,0.1554799999999998
305608,Neutral,NEU_BULL_INVALIDATED,0.14355,0.2843192499999999,0.12821925,0.1560999999999999
302368,Neutral,NEU_BULL_INVALIDATED,0.14355,0.2928281291498232,0.1367281291498232,0.1560999999999999
304007,Neutral,NEU_BULL_INVALIDATED,0.14355,0.3007205220820161,0.1446205220820161,0.1560999999999999
303361,Neutral,NEU_BULL_INVALIDATED,0.1436833333333333,0.2617364960007924,0.1513298293341258,0.1104066666666666
312047,Neutral,NEU_BULL_INVALIDATED,0.1439833333333333,0.2874585833333332,0.1639419166666667,0.1235166666666665
303877,Neutral,NEU_BULL_INVALIDATED,0.14455,0.2928458609896668,0.136125860989667,0.1567199999999998
308166,Neutral,NEU_BULL_INVALIDATED,0.14455,0.2848542499999999,0.12813425,0.1567199999999998
