src_meta_epoch,v21_trend,v21_reason,v21_bull_raw,v21_bull_raw,v21_bear_raw,v21_sep
306251,Neutral,NEU_BULL_INVALIDATED,0.4836461188201654,0.4836461188201654,0.2091411188201656,0.2745049999999998
311586,Neutral,NEU_BULL_INVALIDATED,0.4806828089602313,0.4806828089602313,0.2055578089602315,0.2751249999999998
321489,Neutral,NEU_BULL_INVALIDATED,0.4793997009213707,0.4793997009213707,0.2036547009213708,0.2757449999999999
305950,Neutral,NEU_BULL_INVALIDATED,0.4729782344103828,0.4729782344103828,0.1990932344103828,0.273885
304606,Neutral,NEU_BULL_INVALIDATED,0.4678847590416101,0.4678847590416101,0.2327597590416102,0.2351249999999998
310485,Neutral,NEU_BULL_INVALIDATED,0.4674913969687431,0.4674913969687431,0.2317463969687432,0.2357449999999998
303249,Neutral,NEU_BULL_INVALIDATED,0.4673939999999998,0.4673939999999998,0.191649,0.2757449999999998
303682,Neutral,NEU_BULL_INVALIDATED,0.466836641650227,0.466836641650227,0.209846641650227,0.2569899999999999
315983,Neutral,NEU_BULL_INVALIDATED,0.4663949562588766,0.4663949562588766,0.2300299562588768,0.2363649999999998
312565,Neutral,NEU_BULL_INVALIDATED,0.4663239999999998,0.4663239999999998,0.191819,0.2745049999999998
