src_meta_epoch,v21_trend,v21_reason,v21_sep,v21_bull_raw,v21_bear_raw,v21_sep
306029,Neutral,NEU_BEAR_INVALIDATED,0.2763649999999999,0.1888649454559486,0.4652299454559486,0.2763649999999999
315640,Neutral,NEU_BEAR_INVALIDATED,0.2763649999999999,0.2052629400354171,0.4816279400354171,0.2763649999999999
314186,Neutral,NEU_BEAR_INVALIDATED,0.2757449999999999,0.1825195222550981,0.458264522255098,0.2757449999999999
321489,Neutral,NEU_BULL_INVALIDATED,0.2757449999999999,0.4793997009213707,0.2036547009213708,0.2757449999999999
303249,Neutral,NEU_BULL_INVALIDATED,0.2757449999999998,0.4673939999999998,0.191649,0.2757449999999998
302300,Neutral,NEU_BEAR_INVALIDATED,0.2757449999999998,0.2126312226236071,0.4883762226236069,0.2757449999999998
307765,Neutral,NEU_BULL_INVALIDATED,0.275125,0.4661140428367047,0.1909890428367047,0.275125
302665,Neutral,NEU_BEAR_INVALIDATED,0.275125,0.1900244713788726,0.4651494713788727,0.275125
316297,Neutral,NEU_BULL_INVALIDATED,0.275125,0.4581160953103482,0.1829910953103481,0.275125
302302,Neutral,NEU_BULL_INVALIDATED,0.275125,0.4528629189208191,0.177737918920819,0.275125
