src_meta_epoch,v21_trend,v21_reason,v21_bull_continuation_score,v21_bull_raw,v21_bear_raw,v21_sep
322770,Neutral,NEU_BULL_INVALIDATED,0.8577999999999999,0.4569914999999999,0.2206265,0.2363649999999998
306893,Neutral,NEU_BULL_INVALIDATED,0.8577999999999999,0.4616789999999999,0.225314,0.2363649999999998
319953,Neutral,NEU_BULL_INVALIDATED,0.8577999999999999,0.462708098550697,0.2263430985506971,0.2363649999999998
307886,Neutral,NEU_BULL_INVALIDATED,0.8577999999999999,0.4616789999999999,0.225314,0.2363649999999998
316821,Neutral,NEU_BULL_INVALIDATED,0.8577999999999999,0.4541789999999999,0.217814,0.2363649999999998
310420,Neutral,NEU_BULL_INVALIDATED,0.8577999999999999,0.4479289999999999,0.211564,0.2363649999999998
316569,Neutral,NEU_BULL_INVALIDATED,0.8577999999999999,0.4616789999999999,0.225314,0.2363649999999998
310544,Neutral,NEU_BULL_INVALIDATED,0.8577999999999999,0.46341536160297,0.2270503616029701,0.2363649999999998
307830,Neutral,NEU_BULL_INVALIDATED,0.8577999999999999,0.4616789999999999,0.225314,0.2363649999999998
316764,Neutral,NEU_BULL_INVALIDATED,0.8577999999999999,0.4554289999999999,0.219064,0.2363649999999998
