src_meta_epoch,v21_trend,v21_reason,v21_bull_continuation_score,v21_bull_raw,v21_bear_raw,v21_sep
317337,Neutral,NEU_BEAR_INVALIDATED,0.1382833333333333,0.1571783912678137,0.2788350579344805,0.1216566666666667
319763,Neutral,NEU_BEAR_INVALIDATED,0.1382833333333333,0.1668861718771031,0.2885428385437699,0.1216566666666667
309074,Neutral,NEU_BEAR_INVALIDATED,0.1392833333333333,0.1526674166666666,0.2749440833333332,0.1222766666666665
317100,Neutral,NEU_BEAR_INVALIDATED,0.1402833333333333,0.1600824166666666,0.2829790833333332,0.1228966666666666
311871,Neutral,NEU_BEAR_INVALIDATED,0.1402833333333333,0.1585876844241621,0.3332343510908288,0.1746466666666666
320269,Neutral,NEU_BEAR_INVALIDATED,0.1446833333333333,0.1592769170414477,0.2703035837081143,0.1110266666666665
308184,Neutral,NEU_BEAR_INVALIDATED,0.14515,0.1521902499999999,0.3070502499999999,0.15486
315985,Neutral,NEU_BEAR_INVALIDATED,0.14615,0.1521052499999999,0.30758525,0.15548
303292,Neutral,NEU_BEAR_INVALIDATED,0.14715,0.1520202499999999,0.30812025,0.1561
308826,Neutral,NEU_BEAR_INVALIDATED,0.14715,0.1589340441732636,0.3150340441732636,0.1561
