model_id,family,epochs_seen,calls_made,coverage_pct,coverage_bull_pct,coverage_bear_pct,overall_accuracy,called_accuracy,called_bull_accuracy,called_bear_accuracy,bull_precision,bull_recall,bear_precision,bear_recall,avg_confidence,avg_conf_win,avg_conf_loss,bull_avg_conf,bear_avg_conf,bull_avg_conf_win,bull_avg_conf_loss,bear_avg_conf_win,bear_avg_conf_loss,brier_score,log_loss,bull_calls,bear_calls,stake_bnb,bnb_usd_price,payout_win_multiple,site_fee_on_win_rate,gas_bet_usd,gas_claim_usd,bull_net_units,bear_net_units,net_units,bull_net_bnb,bear_net_bnb,net_bnb,bull_net_usd,bear_net_usd,net_usd,avg_bnb_per_bet,avg_usd_per_bet,gross_wins,gross_losses,gross_profit_bnb,gross_loss_bnb,profit_factor,max_loss_streak,max_win_streak,max_drawdown_units,max_drawdown_bnb,max_drawdown_usd,tn_bear_ok,fp_false_bull,fn_false_bear,tp_bull_ok,bucket_50_54_n,bucket_50_54_acc,bucket_50_54_net_bnb,bucket_50_54_net_usd,bucket_54_58_n,bucket_54_58_acc,bucket_54_58_net_bnb,bucket_54_58_net_usd,bucket_58_62_n,bucket_58_62_acc,bucket_58_62_net_bnb,bucket_58_62_net_usd,bucket_62_plus_n,bucket_62_plus_acc,bucket_62_plus_net_bnb,bucket_62_plus_net_usd,skip_rows,directional_rows,directional_coverage_pct,avg_prob_bull,avg_prob_bear
regime_trend_pressure_rf_v1,regime+trend+pressure,19003,1247,6.5621217702468035,2.3469978424459295,4.215123927800874,0.5200757775088144,0.5268644747393745,0.4798206278026906,0.5530586766541823,0.5180606321221243,0.5096235194585449,0.5220080404082054,0.5304284068293705,0.5351578598827993,0.6042907850501359,0.6037199597928454,0.604722331279945,0.6036300403306648,0.6065597908891097,0.6030274331921809,0.6031946964507219,0.6041687479809854,0.2502970045090901,0.6937785201006368,446,801,0.015,685.0,0.95,0.05,0.85,1.05,-97.6289902676399,-69.72534671532844,-167.35433698296833,-1.4644348540145984,-1.0458802007299273,-2.5103150547445257,-1003.137875,-716.4279375000001,-1719.5658125,-0.0020130834440613677,-1.378962159182037,657,590,7.071801733576644,9.582116788321166,0.7380208246048374,9,9,-173.3332116788307,-2.5999981751824603,-1780.9987499999854,5064,4483,4637,4819,0,,0.0,0.0,0,,0.0,0.0,1019,0.5230618253189402,-2.1559723540145983,-1476.8410625000001,228,0.543859649122807,-0.354342700729927,-242.72475000000003,0,19003,100.0,0.4979561781378776,0.5020438218621224
trend_pressure_rf_v1,trend+pressure,19003,1314,6.914697679313793,2.899542177550913,4.015155501762879,0.5162869020680945,0.5121765601217656,0.4791288566243194,0.5360419397116645,0.5140545144804088,0.510575296108291,0.5184684216002498,0.521944066198806,0.5361632886847674,0.6034272638122123,0.6049257475455609,0.6046570871189605,0.6037980310875181,0.6041016314376999,0.6051680289302943,0.6029919751737558,0.6047293216771472,0.25052249727294773,0.6942458368257601,551,763,0.015,685.0,0.95,0.05,0.85,1.05,-121.29961070559608,-89.79234184914839,-211.09195255474447,-1.8194941605839416,-1.3468851277372265,-3.1663792883211683,-1246.3535,-922.6163125,-2168.9698125000004,-0.002409725485784755,-1.6506619577625574,673,641,7.244022171532848,10.410401459854011,0.6958446510894147,10,12,-212.52712287104328,-3.187906843065649,-2183.7161874999697,4983,4564,4628,4828,0,,0.0,0.0,0,,0.0,0.0,1057,0.5127719962157048,-2.5300837591240875,-1733.107375,257,0.5097276264591439,-0.6362955291970804,-435.86243750000006,0,19003,100.0,0.4990409708894353,0.5009590291105648
trend_pressure_logreg_v1,trend+pressure,19003,4686,24.65926432668526,10.67199915802768,13.987265168657581,0.5136031152975846,0.5168587281263337,0.5128205128205128,0.5199398043641836,0.5113141400191225,0.5089890016920474,0.5158498435870699,0.5181732481407773,0.5394423768202194,0.5963876486590229,0.596795324233271,0.595280920734153,0.5975793046905256,0.5952072527535088,0.5953584659769363,0.5972759350133896,0.5979078759239127,0.2524915052260637,0.7008618535021375,2028,2658,0.015,685.0,0.95,0.05,0.85,1.05,-323.44379562043787,-389.8544890510948,-713.2982846715327,-4.85165693430657,-5.847817335766424,-10.699474270072994,-3323.385,-4005.7548749999996,-7329.139875000001,-0.0022832851622008096,-1.5640503361075546,2422,2264,26.069868795620444,36.76934306569342,0.7090110026998058,17,11,-718.2325182481915,-10.773487773722872,-7379.839125000167,4947,4600,4643,4813,0,,0.0,0.0,2601,0.5232602845059593,-5.489185127737226,-3760.0918125000003,1205,0.5136929460580912,-2.8543750912408763,-1955.2469374999998,880,0.5022727272727273,-2.355914051094891,-1613.801125,0,19003,100.0,0.49692353089633445,0.5030764691036655
regime_trend_pressure_logreg_v1,regime+trend+pressure,19003,4618,24.30142609061727,10.214176708940693,14.087249381676578,0.5128137662474346,0.5153746210480727,0.49974240082431737,0.5267090026148674,0.5102633215840763,0.5205160744500846,0.515442983862349,0.5051848748297895,0.5462604805573816,0.6112748011919438,0.6104306066617001,0.6081655803893746,0.6128234340716978,0.6093244086582355,0.6070079455584837,0.6126165605945659,0.6130536563311738,0.2533036460800056,0.7047476029606484,1941,2677,0.015,685.0,0.95,0.05,0.85,1.05,-355.26843065693424,-360.0175790754257,-715.28600973236,-5.329026459854015,-5.400263686131387,-10.729290145985402,-3650.383125,-3699.1806250000004,-7349.56375,-0.002323362959286575,-1.5915036271113037,2380,2238,25.617790145985403,36.3470802919708,0.7048101234047255,17,13,-724.1733090024541,-10.86259963503681,-7440.880750000215,4823,4724,4534,4922,0,,0.0,0.0,1855,0.5202156334231806,-4.067334397810219,-2786.1240625,1560,0.5096153846153846,-3.8670670620437955,-2648.9409375000005,1203,0.515378221113882,-2.794888686131387,-1914.4987500000002,0,19003,100.0,0.4964796023708689,0.503520397629131
